User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7811,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-24,Time: 3:32:29 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate316_blank,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.253,0.249,0.242,0.244,0.246,0.232,0.25,0.243,0.237,0.236,0.234,0.228,0.257,0.256,0.264,0.238,0.241,0.231,0.28,0.267,0.277,0.254,0.249,0.233
Raw Data (Abs Spectrum),380,0.158,0.152,0.145,0.148,0.154,0.143,0.154,0.151,0.144,0.146,0.147,0.14,0.153,0.152,0.149,0.144,0.154,0.143,0.159,0.151,0.151,0.148,0.152,0.143
Raw Data (Abs Spectrum),390,0.132,0.125,0.119,0.122,0.129,0.119,0.127,0.125,0.119,0.121,0.123,0.116,0.126,0.126,0.121,0.119,0.13,0.119,0.129,0.123,0.121,0.121,0.126,0.119
Raw Data (Abs Spectrum),400,0.123,0.116,0.11,0.113,0.119,0.11,0.117,0.116,0.11,0.113,0.114,0.107,0.117,0.118,0.111,0.111,0.121,0.11,0.119,0.115,0.111,0.112,0.117,0.111
Raw Data (Abs Spectrum),410,0.116,0.108,0.103,0.106,0.113,0.105,0.11,0.108,0.103,0.107,0.108,0.102,0.11,0.111,0.105,0.105,0.115,0.105,0.112,0.108,0.104,0.106,0.111,0.105
Raw Data (Abs Spectrum),420,0.11,0.101,0.096,0.099,0.106,0.098,0.104,0.102,0.096,0.101,0.101,0.096,0.103,0.105,0.097,0.099,0.108,0.098,0.106,0.101,0.097,0.099,0.104,0.098
Raw Data (Abs Spectrum),430,0.106,0.097,0.092,0.096,0.103,0.095,0.1,0.098,0.093,0.098,0.098,0.093,0.099,0.102,0.094,0.095,0.104,0.095,0.102,0.098,0.093,0.095,0.1,0.095
Raw Data (Abs Spectrum),440,0.103,0.094,0.089,0.093,0.1,0.093,0.097,0.094,0.09,0.095,0.095,0.091,0.095,0.099,0.09,0.092,0.101,0.092,0.099,0.095,0.09,0.093,0.097,0.093
Raw Data (Abs Spectrum),450,0.101,0.091,0.087,0.09,0.097,0.091,0.094,0.091,0.087,0.093,0.093,0.088,0.093,0.096,0.088,0.09,0.098,0.09,0.097,0.092,0.088,0.091,0.095,0.091
