User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7800,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-24,Time: 2:08:17 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate314_blank,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Raw Data (Abs Spectrum),520,0.087,0.084,0.079,0.082,0.085,0.082,0.086,0.081,0.08,0.084,0.085,0.089,0.084,0.081,0.078,0.082,0.085,0.084,0.085,0.084,0.08,0.082,0.086,0.084
Raw Data (Abs Spectrum),530,0.085,0.081,0.075,0.079,0.082,0.079,0.084,0.078,0.077,0.081,0.082,0.086,0.082,0.078,0.074,0.079,0.082,0.081,0.083,0.081,0.076,0.079,0.083,0.08
Raw Data (Abs Spectrum),540,0.085,0.081,0.076,0.079,0.082,0.079,0.083,0.078,0.077,0.081,0.082,0.086,0.082,0.078,0.074,0.079,0.082,0.081,0.082,0.081,0.076,0.079,0.083,0.081
Raw Data (Abs Spectrum),550,0.085,0.081,0.077,0.081,0.083,0.081,0.084,0.079,0.078,0.082,0.083,0.087,0.082,0.079,0.076,0.08,0.083,0.083,0.083,0.082,0.078,0.08,0.084,0.082
Raw Data (Abs Spectrum),560,0.084,0.081,0.077,0.081,0.083,0.082,0.084,0.079,0.079,0.082,0.083,0.088,0.082,0.079,0.077,0.081,0.084,0.083,0.083,0.082,0.079,0.081,0.084,0.083
Raw Data (Abs Spectrum),570,0.084,0.08,0.076,0.08,0.082,0.08,0.082,0.078,0.077,0.081,0.082,0.086,0.081,0.078,0.075,0.08,0.082,0.082,0.082,0.081,0.077,0.079,0.083,0.082
Raw Data (Abs Spectrum),580,0.083,0.081,0.077,0.08,0.082,0.081,0.082,0.078,0.077,0.081,0.082,0.087,0.08,0.078,0.076,0.08,0.083,0.083,0.081,0.081,0.078,0.08,0.083,0.082
Raw Data (Abs Spectrum),590,0.083,0.08,0.077,0.08,0.082,0.081,0.082,0.078,0.077,0.081,0.082,0.087,0.08,0.078,0.076,0.08,0.083,0.083,0.081,0.081,0.078,0.08,0.083,0.083
Raw Data (Abs Spectrum),600,0.083,0.08,0.076,0.079,0.081,0.08,0.081,0.077,0.076,0.08,0.081,0.086,0.08,0.077,0.075,0.079,0.082,0.082,0.08,0.08,0.076,0.079,0.082,0.082
Raw Data (Abs Spectrum),610,0.082,0.079,0.076,0.079,0.081,0.08,0.081,0.077,0.076,0.08,0.08,0.085,0.08,0.077,0.075,0.079,0.081,0.081,0.08,0.08,0.076,0.079,0.082,0.081
Raw Data (Abs Spectrum),620,0.082,0.079,0.076,0.079,0.081,0.081,0.081,0.077,0.077,0.08,0.081,0.086,0.079,0.077,0.075,0.079,0.082,0.082,0.08,0.08,0.077,0.079,0.082,0.082
Raw Data (Abs Spectrum),630,0.081,0.078,0.075,0.078,0.08,0.079,0.08,0.076,0.075,0.079,0.079,0.084,0.078,0.076,0.074,0.078,0.08,0.08,0.079,0.079,0.076,0.078,0.081,0.08
Raw Data (Abs Spectrum),640,0.081,0.078,0.075,0.078,0.08,0.079,0.079,0.076,0.076,0.079,0.079,0.084,0.078,0.076,0.074,0.077,0.08,0.08,0.079,0.079,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),650,0.08,0.077,0.074,0.077,0.079,0.078,0.079,0.075,0.075,0.078,0.078,0.083,0.077,0.075,0.073,0.077,0.079,0.08,0.078,0.078,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),660,0.08,0.077,0.073,0.077,0.078,0.077,0.078,0.075,0.074,0.077,0.078,0.082,0.077,0.075,0.072,0.077,0.079,0.079,0.078,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),670,0.08,0.077,0.073,0.076,0.078,0.077,0.078,0.074,0.074,0.077,0.078,0.082,0.077,0.075,0.072,0.077,0.078,0.079,0.077,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),680,0.079,0.076,0.073,0.076,0.078,0.077,0.077,0.074,0.074,0.077,0.077,0.082,0.076,0.074,0.072,0.076,0.078,0.079,0.076,0.076,0.073,0.076,0.079,0.078
Raw Data (Abs Spectrum),690,0.079,0.077,0.073,0.077,0.078,0.078,0.077,0.074,0.074,0.077,0.077,0.082,0.076,0.075,0.073,0.077,0.079,0.08,0.077,0.077,0.074,0.076,0.079,0.079
Raw Data (Abs Spectrum),700,0.079,0.076,0.073,0.076,0.077,0.077,0.077,0.074,0.074,0.076,0.077,0.081,0.076,0.074,0.072,0.076,0.078,0.078,0.077,0.076,0.073,0.075,0.078,0.078
Raw Data (Abs Spectrum),710,0.081,0.078,0.075,0.078,0.08,0.079,0.079,0.075,0.075,0.079,0.079,0.083,0.077,0.076,0.074,0.078,0.08,0.081,0.078,0.078,0.075,0.077,0.08,0.08
Raw Data (Abs Spectrum),720,0.082,0.079,0.076,0.078,0.08,0.08,0.08,0.076,0.076,0.079,0.079,0.084,0.079,0.077,0.075,0.079,0.08,0.081,0.079,0.079,0.077,0.078,0.081,0.081
Raw Data (Abs Spectrum),730,0.084,0.081,0.078,0.081,0.083,0.083,0.082,0.079,0.079,0.082,0.082,0.087,0.081,0.079,0.077,0.081,0.083,0.084,0.081,0.081,0.079,0.081,0.084,0.084
Raw Data (Abs Spectrum),740,0.086,0.084,0.081,0.083,0.086,0.085,0.085,0.082,0.082,0.085,0.085,0.089,0.083,0.082,0.08,0.084,0.085,0.086,0.084,0.084,0.082,0.084,0.086,0.087
Raw Data (Abs Spectrum),750,0.086,0.084,0.082,0.084,0.086,0.086,0.085,0.082,0.082,0.085,0.085,0.089,0.084,0.083,0.08,0.084,0.085,0.087,0.084,0.084,0.082,0.084,0.086,0.087
