User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7995,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-29,Time: 1:09:35 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,1.128,0.297,1.412,0.656,0.343,0.306,1.176,0.324,1.476,0.619,0.4,0.43,1.107,0.546,1.54,0.725,0.396,0.369
Raw Data (Abs Spectrum),380,1.06,0.236,1.359,0.584,0.278,0.231,1.109,0.258,1.419,0.526,0.326,0.347,1.035,0.472,1.471,0.635,0.309,0.278
Raw Data (Abs Spectrum),390,1.04,0.22,1.345,0.56,0.26,0.21,1.086,0.24,1.404,0.5,0.307,0.32,1.013,0.452,1.457,0.61,0.287,0.252
Raw Data (Abs Spectrum),400,1.029,0.213,1.338,0.55,0.254,0.2,1.075,0.234,1.391,0.49,0.302,0.306,1.002,0.443,1.452,0.601,0.28,0.241
Raw Data (Abs Spectrum),410,1.034,0.211,1.362,0.548,0.253,0.193,1.081,0.231,1.421,0.489,0.301,0.295,1.006,0.442,1.486,0.602,0.278,0.233
Raw Data (Abs Spectrum),420,1.047,0.209,1.404,0.551,0.252,0.186,1.092,0.23,1.465,0.491,0.3,0.284,1.019,0.445,1.531,0.607,0.278,0.225
Raw Data (Abs Spectrum),430,1.043,0.207,1.426,0.547,0.249,0.18,1.089,0.227,1.486,0.489,0.297,0.273,1.016,0.442,1.56,0.605,0.274,0.217
Raw Data (Abs Spectrum),440,1.056,0.208,1.482,0.551,0.25,0.177,1.101,0.228,1.542,0.492,0.299,0.266,1.03,0.447,1.62,0.609,0.276,0.213
Raw Data (Abs Spectrum),450,1.045,0.205,1.46,0.543,0.247,0.173,1.089,0.224,1.517,0.485,0.296,0.258,1.018,0.44,1.591,0.601,0.272,0.207
Raw Data (Abs Spectrum),460,1.028,0.201,1.414,0.533,0.245,0.17,1.071,0.22,1.464,0.476,0.294,0.253,0.999,0.43,1.535,0.59,0.269,0.204
Raw Data (Abs Spectrum),470,1.003,0.196,1.379,0.521,0.24,0.166,1.047,0.214,1.429,0.465,0.288,0.245,0.974,0.417,1.501,0.577,0.265,0.199
Raw Data (Abs Spectrum),480,0.984,0.191,1.367,0.507,0.236,0.162,1.026,0.209,1.416,0.453,0.284,0.238,0.954,0.406,1.485,0.563,0.26,0.194
Raw Data (Abs Spectrum),490,0.951,0.184,1.335,0.491,0.226,0.154,0.993,0.201,1.38,0.438,0.274,0.227,0.921,0.389,1.45,0.544,0.25,0.184
Raw Data (Abs Spectrum),500,0.941,0.183,1.311,0.486,0.226,0.153,0.983,0.2,1.357,0.434,0.273,0.223,0.91,0.384,1.428,0.54,0.25,0.182
Raw Data (Abs Spectrum),510,0.921,0.179,1.284,0.475,0.223,0.151,0.962,0.196,1.329,0.425,0.27,0.219,0.89,0.375,1.396,0.527,0.246,0.179
Raw Data (Abs Spectrum),520,0.889,0.173,1.253,0.458,0.218,0.147,0.929,0.189,1.296,0.409,0.264,0.213,0.857,0.36,1.359,0.508,0.24,0.175
Raw Data (Abs Spectrum),530,0.86,0.168,1.212,0.441,0.211,0.144,0.9,0.182,1.255,0.394,0.257,0.206,0.83,0.345,1.315,0.49,0.234,0.17
Raw Data (Abs Spectrum),540,0.837,0.164,1.164,0.429,0.208,0.141,0.876,0.178,1.206,0.383,0.252,0.202,0.806,0.335,1.261,0.477,0.23,0.167
Raw Data (Abs Spectrum),550,0.813,0.16,1.12,0.419,0.204,0.139,0.853,0.174,1.163,0.374,0.248,0.198,0.782,0.325,1.213,0.466,0.225,0.164
