User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8023,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-30,Time: 9:52:09 AM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,1.135,0.635,1.624,0.858,0.362,0.377,1.129,0.404,1.636,0.902,0.376,0.298,1.206,0.661,1.748,0.961,0.407,0.328
Raw Data (Abs Spectrum),380,1.065,0.567,1.566,0.783,0.296,0.299,1.059,0.338,1.576,0.804,0.301,0.221,1.136,0.586,1.663,0.868,0.32,0.237
Raw Data (Abs Spectrum),390,1.041,0.545,1.549,0.758,0.278,0.274,1.037,0.32,1.564,0.775,0.281,0.199,1.115,0.564,1.653,0.839,0.298,0.213
Raw Data (Abs Spectrum),400,1.032,0.534,1.547,0.747,0.272,0.262,1.029,0.313,1.564,0.764,0.274,0.19,1.105,0.554,1.65,0.826,0.29,0.203
Raw Data (Abs Spectrum),410,1.038,0.528,1.582,0.749,0.27,0.253,1.036,0.31,1.598,0.765,0.272,0.184,1.112,0.552,1.7,0.83,0.289,0.197
Raw Data (Abs Spectrum),420,1.053,0.522,1.631,0.755,0.269,0.243,1.05,0.31,1.649,0.772,0.271,0.177,1.131,0.555,1.748,0.839,0.288,0.189
Raw Data (Abs Spectrum),430,1.051,0.515,1.656,0.754,0.266,0.235,1.047,0.307,1.674,0.77,0.267,0.171,1.13,0.55,1.784,0.838,0.284,0.183
Raw Data (Abs Spectrum),440,1.065,0.513,1.725,0.761,0.267,0.229,1.062,0.309,1.739,0.776,0.268,0.167,1.145,0.555,1.856,0.846,0.285,0.179
Raw Data (Abs Spectrum),450,1.05,0.505,1.693,0.748,0.263,0.224,1.049,0.304,1.711,0.763,0.264,0.163,1.129,0.546,1.816,0.831,0.281,0.175
Raw Data (Abs Spectrum),460,1.028,0.496,1.624,0.73,0.259,0.22,1.028,0.298,1.639,0.746,0.26,0.161,1.104,0.534,1.737,0.809,0.277,0.173
Raw Data (Abs Spectrum),470,1.002,0.485,1.589,0.71,0.254,0.215,1.004,0.291,1.602,0.727,0.255,0.158,1.075,0.519,1.7,0.787,0.272,0.169
Raw Data (Abs Spectrum),480,0.979,0.474,1.57,0.69,0.249,0.208,0.981,0.283,1.581,0.707,0.25,0.153,1.05,0.505,1.679,0.763,0.267,0.164
Raw Data (Abs Spectrum),490,0.945,0.46,1.534,0.667,0.239,0.199,0.948,0.273,1.545,0.684,0.24,0.146,1.015,0.484,1.64,0.737,0.256,0.156
Raw Data (Abs Spectrum),500,0.933,0.455,1.506,0.659,0.239,0.197,0.937,0.272,1.519,0.676,0.239,0.145,1.001,0.479,1.613,0.727,0.256,0.155
Raw Data (Abs Spectrum),510,0.909,0.446,1.469,0.639,0.235,0.194,0.915,0.266,1.482,0.658,0.236,0.143,0.974,0.467,1.569,0.705,0.252,0.153
Raw Data (Abs Spectrum),520,0.872,0.433,1.429,0.611,0.229,0.189,0.879,0.257,1.441,0.63,0.229,0.14,0.934,0.447,1.524,0.672,0.245,0.15
Raw Data (Abs Spectrum),530,0.841,0.421,1.379,0.586,0.222,0.183,0.849,0.248,1.394,0.605,0.222,0.136,0.9,0.43,1.469,0.642,0.238,0.145
Raw Data (Abs Spectrum),540,0.816,0.412,1.32,0.567,0.218,0.18,0.824,0.242,1.337,0.587,0.218,0.134,0.873,0.416,1.404,0.621,0.234,0.143
