User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8023,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-30,Time: 9:52:09 AM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Raw Data (Abs Spectrum),550,0.791,0.404,1.271,0.552,0.214,0.178,0.8,0.237,1.29,0.572,0.214,0.133,0.847,0.404,1.354,0.604,0.23,0.141
Raw Data (Abs Spectrum),560,0.779,0.398,1.251,0.545,0.213,0.176,0.788,0.235,1.271,0.564,0.212,0.132,0.834,0.398,1.334,0.595,0.229,0.14
Raw Data (Abs Spectrum),570,0.771,0.392,1.245,0.538,0.211,0.172,0.779,0.232,1.267,0.558,0.21,0.129,0.825,0.393,1.331,0.588,0.227,0.138
Raw Data (Abs Spectrum),580,0.762,0.388,1.245,0.534,0.21,0.17,0.771,0.23,1.268,0.553,0.208,0.128,0.818,0.389,1.334,0.583,0.226,0.136
Raw Data (Abs Spectrum),590,0.762,0.385,1.261,0.534,0.211,0.169,0.771,0.23,1.286,0.553,0.209,0.128,0.817,0.389,1.354,0.584,0.227,0.136
Raw Data (Abs Spectrum),600,0.754,0.381,1.271,0.531,0.209,0.166,0.763,0.229,1.297,0.55,0.208,0.126,0.809,0.386,1.367,0.58,0.225,0.134
Raw Data (Abs Spectrum),610,0.746,0.377,1.285,0.529,0.207,0.163,0.755,0.228,1.313,0.548,0.205,0.123,0.802,0.384,1.385,0.579,0.224,0.131
Raw Data (Abs Spectrum),620,0.755,0.376,1.323,0.538,0.209,0.161,0.763,0.23,1.355,0.556,0.207,0.123,0.814,0.39,1.427,0.589,0.226,0.131
Raw Data (Abs Spectrum),630,0.761,0.373,1.329,0.539,0.208,0.157,0.77,0.229,1.363,0.557,0.206,0.12,0.823,0.39,1.431,0.591,0.225,0.128
Raw Data (Abs Spectrum),640,0.752,0.368,1.296,0.532,0.205,0.154,0.761,0.227,1.327,0.551,0.203,0.117,0.814,0.386,1.399,0.584,0.222,0.124
Raw Data (Abs Spectrum),650,0.728,0.36,1.258,0.515,0.202,0.152,0.738,0.222,1.289,0.534,0.2,0.116,0.787,0.374,1.358,0.563,0.218,0.123
Raw Data (Abs Spectrum),660,0.705,0.352,1.246,0.497,0.197,0.15,0.715,0.216,1.273,0.516,0.195,0.115,0.76,0.36,1.346,0.542,0.214,0.122
Raw Data (Abs Spectrum),670,0.704,0.349,1.296,0.497,0.197,0.149,0.715,0.216,1.321,0.516,0.195,0.114,0.761,0.358,1.404,0.543,0.213,0.121
Raw Data (Abs Spectrum),680,0.715,0.349,1.364,0.503,0.198,0.148,0.726,0.218,1.389,0.521,0.196,0.114,0.774,0.36,1.478,0.55,0.215,0.121
Raw Data (Abs Spectrum),690,0.692,0.341,1.303,0.484,0.194,0.146,0.703,0.213,1.329,0.503,0.192,0.113,0.747,0.348,1.405,0.528,0.21,0.12
Raw Data (Abs Spectrum),700,0.659,0.331,1.189,0.457,0.188,0.144,0.671,0.205,1.215,0.477,0.186,0.112,0.71,0.332,1.279,0.497,0.203,0.118
Raw Data (Abs Spectrum),710,0.639,0.325,1.13,0.443,0.186,0.144,0.65,0.201,1.155,0.462,0.184,0.112,0.686,0.322,1.216,0.48,0.201,0.119
Raw Data (Abs Spectrum),720,0.622,0.319,1.091,0.432,0.183,0.143,0.634,0.198,1.114,0.451,0.181,0.111,0.668,0.314,1.174,0.467,0.198,0.118
Raw Data (Abs Spectrum),730,0.614,0.317,1.074,0.427,0.184,0.144,0.626,0.198,1.096,0.446,0.182,0.113,0.659,0.311,1.156,0.46,0.199,0.12
Raw Data (Abs Spectrum),740,0.603,0.315,1.055,0.42,0.184,0.145,0.616,0.198,1.077,0.44,0.181,0.115,0.647,0.307,1.139,0.453,0.198,0.121
Raw Data (Abs Spectrum),750,0.593,0.31,1.038,0.413,0.183,0.144,0.605,0.196,1.058,0.432,0.18,0.114,0.636,0.301,1.12,0.445,0.197,0.12
