User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7867,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-26,Time: 9:13:11 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),610,0.304,0.17,0.476,0.227,0.153,0.13,0.294,0.168,0.477,0.185,0.169,0.124,0.298,0.168,0.463,0.215,0.148,0.128,0.299,0.172,0.494,0.226,0.157,0.128
Raw Data (Abs Spectrum),620,0.312,0.173,0.488,0.233,0.156,0.13,0.302,0.172,0.487,0.189,0.172,0.125,0.305,0.172,0.475,0.22,0.151,0.128,0.307,0.176,0.506,0.231,0.16,0.128
Raw Data (Abs Spectrum),630,0.318,0.173,0.489,0.233,0.155,0.128,0.308,0.171,0.488,0.189,0.171,0.122,0.312,0.172,0.475,0.22,0.15,0.126,0.313,0.175,0.507,0.231,0.16,0.126
Raw Data (Abs Spectrum),640,0.318,0.173,0.479,0.231,0.155,0.126,0.308,0.171,0.477,0.188,0.171,0.121,0.311,0.172,0.466,0.218,0.149,0.124,0.313,0.175,0.497,0.23,0.159,0.124
Raw Data (Abs Spectrum),650,0.306,0.168,0.467,0.223,0.151,0.124,0.296,0.166,0.465,0.182,0.166,0.119,0.299,0.166,0.454,0.211,0.146,0.122,0.301,0.17,0.484,0.222,0.155,0.122
Raw Data (Abs Spectrum),660,0.294,0.161,0.459,0.214,0.146,0.122,0.283,0.16,0.459,0.174,0.161,0.117,0.288,0.16,0.446,0.203,0.141,0.12,0.288,0.164,0.476,0.213,0.15,0.12
Raw Data (Abs Spectrum),670,0.296,0.162,0.472,0.214,0.147,0.123,0.286,0.16,0.471,0.175,0.161,0.118,0.29,0.16,0.458,0.203,0.142,0.121,0.291,0.164,0.489,0.213,0.15,0.121
Raw Data (Abs Spectrum),680,0.304,0.162,0.493,0.216,0.148,0.123,0.293,0.16,0.494,0.176,0.162,0.117,0.298,0.16,0.48,0.205,0.142,0.12,0.298,0.164,0.512,0.215,0.151,0.121
Raw Data (Abs Spectrum),690,0.295,0.158,0.48,0.208,0.145,0.121,0.284,0.156,0.48,0.17,0.159,0.115,0.289,0.157,0.467,0.198,0.14,0.119,0.289,0.161,0.499,0.208,0.148,0.119
Raw Data (Abs Spectrum),700,0.277,0.15,0.447,0.196,0.138,0.117,0.266,0.148,0.448,0.161,0.152,0.111,0.272,0.149,0.435,0.188,0.134,0.114,0.271,0.153,0.464,0.196,0.142,0.115
Raw Data (Abs Spectrum),710,0.267,0.148,0.429,0.192,0.138,0.117,0.256,0.146,0.429,0.158,0.15,0.111,0.263,0.147,0.417,0.184,0.134,0.115,0.261,0.15,0.445,0.192,0.14,0.115
Raw Data (Abs Spectrum),720,0.26,0.146,0.415,0.188,0.136,0.116,0.249,0.144,0.415,0.156,0.148,0.111,0.256,0.145,0.403,0.181,0.132,0.114,0.254,0.148,0.431,0.189,0.138,0.114
Raw Data (Abs Spectrum),730,0.257,0.146,0.411,0.188,0.137,0.117,0.246,0.144,0.411,0.156,0.149,0.112,0.254,0.145,0.398,0.181,0.133,0.115,0.251,0.148,0.426,0.188,0.139,0.116
Raw Data (Abs Spectrum),740,0.255,0.147,0.405,0.187,0.138,0.119,0.244,0.145,0.405,0.157,0.15,0.114,0.251,0.146,0.393,0.182,0.134,0.117,0.249,0.149,0.42,0.189,0.14,0.117
Raw Data (Abs Spectrum),750,0.251,0.145,0.398,0.185,0.137,0.119,0.24,0.143,0.398,0.155,0.149,0.114,0.247,0.145,0.386,0.18,0.134,0.117,0.245,0.147,0.413,0.186,0.14,0.117
