User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8037,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-30,Time: 10:29:06 AM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,1.056,0.596,1.328,0.797,0.414,0.353,0.994,0.627,1.31,0.707,0.357,0.528,1.043,0.625,1.281,0.74,0.386,0.372
Raw Data (Abs Spectrum),380,0.976,0.519,1.261,0.716,0.343,0.278,0.91,0.54,1.23,0.624,0.286,0.447,0.942,0.528,1.189,0.648,0.306,0.295
Raw Data (Abs Spectrum),390,0.952,0.495,1.245,0.688,0.323,0.255,0.883,0.516,1.21,0.597,0.266,0.418,0.914,0.5,1.166,0.62,0.284,0.272
Raw Data (Abs Spectrum),400,0.94,0.484,1.238,0.674,0.315,0.246,0.872,0.505,1.202,0.583,0.259,0.404,0.902,0.488,1.157,0.607,0.277,0.263
Raw Data (Abs Spectrum),410,0.95,0.483,1.253,0.676,0.314,0.243,0.881,0.504,1.217,0.584,0.258,0.396,0.912,0.487,1.17,0.609,0.276,0.261
Raw Data (Abs Spectrum),420,0.979,0.49,1.292,0.687,0.316,0.242,0.909,0.509,1.256,0.591,0.259,0.389,0.94,0.493,1.208,0.62,0.278,0.259
Raw Data (Abs Spectrum),430,0.987,0.489,1.307,0.688,0.314,0.239,0.915,0.508,1.269,0.592,0.257,0.381,0.947,0.491,1.222,0.621,0.276,0.256
Raw Data (Abs Spectrum),440,1.022,0.501,1.363,0.705,0.321,0.241,0.949,0.518,1.324,0.605,0.262,0.379,0.982,0.502,1.276,0.638,0.282,0.258
Raw Data (Abs Spectrum),450,1.002,0.491,1.342,0.689,0.315,0.235,0.931,0.508,1.306,0.592,0.258,0.368,0.962,0.492,1.258,0.622,0.277,0.252
Raw Data (Abs Spectrum),460,0.95,0.471,1.275,0.657,0.306,0.227,0.883,0.487,1.241,0.566,0.251,0.355,0.912,0.472,1.193,0.592,0.27,0.243
Raw Data (Abs Spectrum),470,0.914,0.454,1.234,0.634,0.298,0.22,0.849,0.471,1.201,0.546,0.245,0.344,0.876,0.455,1.154,0.571,0.264,0.236
Raw Data (Abs Spectrum),480,0.883,0.438,1.214,0.611,0.291,0.212,0.82,0.456,1.182,0.526,0.239,0.332,0.846,0.439,1.136,0.55,0.257,0.227
Raw Data (Abs Spectrum),490,0.847,0.42,1.179,0.587,0.28,0.202,0.787,0.438,1.147,0.506,0.229,0.317,0.811,0.42,1.102,0.528,0.246,0.217
Raw Data (Abs Spectrum),500,0.836,0.414,1.165,0.58,0.278,0.201,0.777,0.432,1.133,0.499,0.229,0.313,0.8,0.414,1.089,0.521,0.245,0.215
Raw Data (Abs Spectrum),510,0.811,0.402,1.141,0.56,0.273,0.196,0.753,0.42,1.111,0.483,0.225,0.303,0.776,0.402,1.067,0.504,0.241,0.209
Raw Data (Abs Spectrum),520,0.767,0.382,1.108,0.531,0.264,0.188,0.713,0.401,1.08,0.458,0.217,0.292,0.734,0.383,1.036,0.477,0.232,0.201
Raw Data (Abs Spectrum),530,0.728,0.363,1.071,0.503,0.254,0.18,0.675,0.383,1.044,0.434,0.209,0.28,0.695,0.364,1.001,0.452,0.224,0.193
Raw Data (Abs Spectrum),540,0.698,0.35,1.032,0.485,0.247,0.175,0.648,0.37,1.006,0.418,0.204,0.272,0.666,0.351,0.963,0.435,0.218,0.188
Raw Data (Abs Spectrum),550,0.675,0.34,0.998,0.472,0.242,0.172,0.626,0.36,0.973,0.407,0.201,0.266,0.644,0.341,0.931,0.423,0.214,0.184
Raw Data (Abs Spectrum),560,0.665,0.335,0.991,0.466,0.24,0.171,0.616,0.356,0.965,0.402,0.199,0.263,0.635,0.337,0.925,0.418,0.213,0.183
Raw Data (Abs Spectrum),570,0.666,0.333,0.997,0.464,0.239,0.169,0.617,0.353,0.971,0.399,0.198,0.258,0.635,0.335,0.93,0.417,0.211,0.181
