User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8037,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-30,Time: 10:29:06 AM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Raw Data (Abs Spectrum),580,0.672,0.332,1.006,0.466,0.239,0.169,0.622,0.353,0.979,0.4,0.198,0.256,0.64,0.335,0.938,0.419,0.211,0.18
Raw Data (Abs Spectrum),590,0.681,0.335,1.029,0.471,0.241,0.171,0.63,0.356,1,0.404,0.2,0.256,0.65,0.339,0.96,0.424,0.214,0.182
Raw Data (Abs Spectrum),600,0.683,0.336,1.051,0.473,0.241,0.171,0.631,0.357,1.021,0.405,0.199,0.253,0.651,0.34,0.98,0.427,0.213,0.182
Raw Data (Abs Spectrum),610,0.695,0.342,1.087,0.482,0.242,0.171,0.641,0.362,1.054,0.413,0.2,0.252,0.662,0.346,1.012,0.435,0.214,0.182
Raw Data (Abs Spectrum),620,0.74,0.356,1.15,0.505,0.249,0.176,0.681,0.375,1.113,0.431,0.205,0.254,0.704,0.362,1.071,0.457,0.22,0.187
Raw Data (Abs Spectrum),630,0.79,0.364,1.175,0.517,0.252,0.176,0.727,0.382,1.139,0.441,0.207,0.253,0.751,0.37,1.096,0.469,0.223,0.186
Raw Data (Abs Spectrum),640,0.8,0.365,1.146,0.515,0.25,0.173,0.735,0.381,1.11,0.439,0.205,0.248,0.76,0.371,1.067,0.466,0.221,0.183
Raw Data (Abs Spectrum),650,0.746,0.346,1.088,0.485,0.241,0.166,0.685,0.363,1.055,0.414,0.199,0.24,0.707,0.352,1.013,0.438,0.213,0.177
Raw Data (Abs Spectrum),660,0.69,0.326,1.052,0.456,0.232,0.161,0.635,0.343,1.021,0.39,0.191,0.232,0.655,0.33,0.979,0.412,0.205,0.17
Raw Data (Abs Spectrum),670,0.697,0.327,1.089,0.461,0.233,0.162,0.642,0.344,1.056,0.393,0.192,0.232,0.663,0.331,1.014,0.416,0.207,0.172
Raw Data (Abs Spectrum),680,0.734,0.338,1.164,0.477,0.241,0.165,0.676,0.354,1.129,0.406,0.198,0.234,0.698,0.341,1.085,0.432,0.213,0.175
Raw Data (Abs Spectrum),690,0.703,0.326,1.125,0.454,0.234,0.16,0.648,0.342,1.094,0.388,0.193,0.227,0.668,0.329,1.051,0.411,0.208,0.169
Raw Data (Abs Spectrum),700,0.634,0.3,1.016,0.412,0.22,0.15,0.584,0.316,0.988,0.353,0.182,0.215,0.602,0.303,0.946,0.372,0.196,0.159
Raw Data (Abs Spectrum),710,0.592,0.283,0.949,0.389,0.213,0.146,0.545,0.299,0.924,0.334,0.177,0.209,0.56,0.286,0.884,0.351,0.19,0.155
Raw Data (Abs Spectrum),720,0.565,0.273,0.907,0.375,0.208,0.143,0.52,0.29,0.882,0.323,0.174,0.204,0.535,0.276,0.844,0.339,0.185,0.152
Raw Data (Abs Spectrum),730,0.548,0.268,0.885,0.367,0.206,0.143,0.505,0.285,0.861,0.316,0.173,0.203,0.519,0.271,0.824,0.331,0.185,0.152
Raw Data (Abs Spectrum),740,0.534,0.264,0.864,0.36,0.205,0.143,0.492,0.281,0.841,0.311,0.173,0.202,0.506,0.266,0.803,0.325,0.184,0.152
Raw Data (Abs Spectrum),750,0.52,0.258,0.846,0.352,0.202,0.141,0.479,0.275,0.822,0.304,0.17,0.199,0.492,0.261,0.786,0.318,0.182,0.15
