User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8007,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-29,Time: 1:42:48 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.931,0.484,1.164,0.715,0.378,0.349,0.9,0.487,1.143,0.633,0.363,0.424,0.947,0.558,1.121,0.634,0.376,0.348
Raw Data (Abs Spectrum),380,0.853,0.41,1.101,0.637,0.307,0.274,0.814,0.4,1.063,0.552,0.294,0.346,0.847,0.462,1.03,0.544,0.297,0.27
Raw Data (Abs Spectrum),390,0.828,0.388,1.083,0.611,0.287,0.251,0.788,0.377,1.043,0.526,0.274,0.32,0.818,0.435,1.008,0.517,0.275,0.247
Raw Data (Abs Spectrum),400,0.815,0.379,1.074,0.597,0.28,0.241,0.776,0.367,1.033,0.514,0.268,0.308,0.805,0.424,0.999,0.506,0.269,0.238
Raw Data (Abs Spectrum),410,0.821,0.378,1.084,0.597,0.279,0.237,0.781,0.365,1.045,0.512,0.266,0.301,0.811,0.421,1.008,0.506,0.267,0.233
Raw Data (Abs Spectrum),420,0.844,0.383,1.121,0.605,0.28,0.234,0.801,0.369,1.077,0.517,0.267,0.296,0.831,0.425,1.039,0.512,0.268,0.23
Raw Data (Abs Spectrum),430,0.848,0.382,1.134,0.605,0.278,0.23,0.805,0.368,1.088,0.516,0.265,0.289,0.835,0.422,1.048,0.512,0.266,0.225
Raw Data (Abs Spectrum),440,0.876,0.392,1.184,0.619,0.284,0.231,0.831,0.377,1.135,0.527,0.269,0.288,0.863,0.431,1.095,0.525,0.271,0.226
Raw Data (Abs Spectrum),450,0.862,0.384,1.169,0.604,0.28,0.225,0.819,0.37,1.125,0.515,0.266,0.28,0.849,0.422,1.083,0.513,0.268,0.22
Raw Data (Abs Spectrum),460,0.822,0.368,1.111,0.578,0.272,0.218,0.781,0.354,1.072,0.494,0.26,0.27,0.811,0.405,1.03,0.491,0.261,0.213
Raw Data (Abs Spectrum),470,0.793,0.355,1.076,0.558,0.266,0.212,0.754,0.342,1.038,0.477,0.254,0.262,0.781,0.391,0.998,0.474,0.256,0.207
Raw Data (Abs Spectrum),480,0.768,0.343,1.061,0.539,0.259,0.205,0.731,0.33,1.023,0.46,0.248,0.253,0.757,0.377,0.982,0.458,0.249,0.2
Raw Data (Abs Spectrum),490,0.737,0.329,1.028,0.518,0.248,0.195,0.702,0.317,0.992,0.442,0.238,0.241,0.727,0.361,0.951,0.439,0.238,0.19
Raw Data (Abs Spectrum),500,0.728,0.325,1.016,0.511,0.248,0.194,0.693,0.313,0.981,0.438,0.238,0.238,0.718,0.357,0.94,0.435,0.239,0.189
Raw Data (Abs Spectrum),510,0.709,0.315,0.997,0.495,0.243,0.189,0.675,0.304,0.965,0.424,0.235,0.232,0.699,0.346,0.923,0.422,0.235,0.184
Raw Data (Abs Spectrum),520,0.675,0.3,0.97,0.471,0.235,0.182,0.642,0.29,0.939,0.404,0.228,0.223,0.665,0.33,0.897,0.401,0.228,0.177
Raw Data (Abs Spectrum),530,0.642,0.285,0.938,0.449,0.226,0.175,0.612,0.276,0.908,0.383,0.22,0.214,0.634,0.315,0.867,0.381,0.219,0.17
Raw Data (Abs Spectrum),540,0.618,0.275,0.904,0.433,0.221,0.172,0.589,0.267,0.876,0.37,0.215,0.208,0.61,0.304,0.836,0.368,0.215,0.166
Raw Data (Abs Spectrum),550,0.597,0.268,0.873,0.421,0.216,0.169,0.569,0.26,0.846,0.361,0.212,0.204,0.589,0.295,0.807,0.358,0.211,0.163
Raw Data (Abs Spectrum),560,0.588,0.264,0.866,0.415,0.215,0.167,0.56,0.256,0.838,0.356,0.21,0.202,0.58,0.292,0.8,0.354,0.21,0.162
Raw Data (Abs Spectrum),570,0.587,0.262,0.869,0.413,0.213,0.165,0.558,0.254,0.84,0.354,0.209,0.198,0.578,0.29,0.803,0.352,0.208,0.16
Raw Data (Abs Spectrum),580,0.59,0.263,0.875,0.414,0.213,0.165,0.561,0.255,0.846,0.354,0.208,0.197,0.58,0.289,0.809,0.352,0.208,0.159
Raw Data (Abs Spectrum),590,0.597,0.265,0.895,0.418,0.215,0.166,0.567,0.257,0.864,0.358,0.211,0.197,0.586,0.292,0.827,0.356,0.21,0.161
Raw Data (Abs Spectrum),600,0.597,0.266,0.912,0.42,0.214,0.165,0.566,0.258,0.878,0.358,0.21,0.195,0.586,0.293,0.842,0.357,0.21,0.16
Raw Data (Abs Spectrum),610,0.604,0.271,0.941,0.427,0.215,0.165,0.573,0.262,0.904,0.364,0.21,0.194,0.593,0.298,0.868,0.363,0.21,0.159
Raw Data (Abs Spectrum),620,0.639,0.283,0.993,0.446,0.221,0.168,0.604,0.273,0.953,0.379,0.215,0.196,0.625,0.31,0.917,0.38,0.215,0.162
Raw Data (Abs Spectrum),630,0.677,0.289,1.014,0.456,0.223,0.167,0.639,0.279,0.974,0.387,0.217,0.195,0.662,0.317,0.938,0.388,0.217,0.161
Raw Data (Abs Spectrum),640,0.686,0.289,0.99,0.454,0.222,0.164,0.646,0.279,0.952,0.386,0.216,0.191,0.669,0.317,0.914,0.387,0.216,0.159
Raw Data (Abs Spectrum),650,0.645,0.275,0.942,0.429,0.215,0.159,0.609,0.266,0.907,0.366,0.209,0.186,0.63,0.302,0.869,0.366,0.209,0.154
Raw Data (Abs Spectrum),660,0.601,0.259,0.912,0.405,0.206,0.154,0.569,0.25,0.879,0.345,0.202,0.18,0.588,0.284,0.842,0.345,0.202,0.149
Raw Data (Abs Spectrum),670,0.605,0.26,0.944,0.408,0.208,0.155,0.572,0.251,0.907,0.348,0.203,0.181,0.592,0.284,0.871,0.348,0.203,0.15
Raw Data (Abs Spectrum),680,0.633,0.268,1.008,0.422,0.213,0.157,0.599,0.259,0.969,0.359,0.208,0.182,0.619,0.292,0.93,0.36,0.209,0.152
Raw Data (Abs Spectrum),690,0.611,0.259,0.977,0.402,0.208,0.153,0.578,0.251,0.944,0.344,0.204,0.177,0.597,0.282,0.903,0.344,0.204,0.148
Raw Data (Abs Spectrum),700,0.556,0.238,0.885,0.368,0.196,0.145,0.527,0.232,0.856,0.315,0.194,0.168,0.545,0.261,0.818,0.315,0.194,0.141
Raw Data (Abs Spectrum),710,0.522,0.226,0.829,0.348,0.191,0.142,0.495,0.22,0.803,0.299,0.189,0.164,0.511,0.248,0.766,0.299,0.188,0.138
Raw Data (Abs Spectrum),720,0.5,0.218,0.791,0.336,0.186,0.14,0.474,0.213,0.767,0.289,0.185,0.161,0.49,0.24,0.731,0.288,0.184,0.135
Raw Data (Abs Spectrum),730,0.486,0.215,0.773,0.329,0.186,0.141,0.462,0.21,0.749,0.284,0.185,0.161,0.477,0.236,0.713,0.283,0.184,0.136
Raw Data (Abs Spectrum),740,0.475,0.213,0.755,0.323,0.185,0.141,0.45,0.208,0.732,0.28,0.184,0.161,0.465,0.233,0.697,0.279,0.183,0.136
Raw Data (Abs Spectrum),750,0.463,0.209,0.739,0.317,0.183,0.14,0.44,0.204,0.715,0.274,0.182,0.159,0.454,0.228,0.682,0.273,0.182,0.135
