User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7938,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-27,Time: 12:37:19 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.614,0.36,0.836,0.508,0.378,0.307,0.596,0.36,0.813,0.489,0.288,0.311,0.577,0.282,0.828,0.548,0.377,0.309,0.608,0.309,0.944,0.571,0.314,0.356
Raw Data (Abs Spectrum),380,0.547,0.296,0.775,0.439,0.311,0.237,0.533,0.299,0.755,0.421,0.225,0.239,0.515,0.218,0.766,0.459,0.304,0.233,0.542,0.241,0.871,0.484,0.228,0.267
Raw Data (Abs Spectrum),390,0.527,0.28,0.76,0.422,0.296,0.219,0.517,0.283,0.74,0.402,0.21,0.221,0.5,0.203,0.751,0.436,0.288,0.214,0.525,0.226,0.854,0.462,0.21,0.245
Raw Data (Abs Spectrum),400,0.519,0.271,0.754,0.416,0.292,0.211,0.51,0.277,0.733,0.395,0.206,0.213,0.493,0.197,0.744,0.429,0.284,0.206,0.518,0.22,0.848,0.454,0.205,0.236
Raw Data (Abs Spectrum),410,0.519,0.268,0.764,0.418,0.293,0.208,0.513,0.273,0.743,0.396,0.206,0.21,0.496,0.195,0.753,0.429,0.286,0.203,0.521,0.219,0.86,0.455,0.205,0.232
Raw Data (Abs Spectrum),420,0.524,0.274,0.794,0.43,0.304,0.212,0.53,0.279,0.772,0.405,0.215,0.214,0.513,0.202,0.782,0.44,0.295,0.208,0.539,0.227,0.893,0.467,0.214,0.236
Raw Data (Abs Spectrum),430,0.522,0.27,0.802,0.429,0.302,0.208,0.529,0.274,0.779,0.404,0.213,0.21,0.512,0.198,0.79,0.439,0.293,0.203,0.538,0.224,0.903,0.466,0.213,0.23
Raw Data (Abs Spectrum),440,0.53,0.269,0.833,0.435,0.306,0.206,0.539,0.273,0.81,0.407,0.216,0.209,0.521,0.198,0.82,0.443,0.297,0.202,0.549,0.225,0.937,0.471,0.215,0.229
Raw Data (Abs Spectrum),450,0.522,0.263,0.83,0.429,0.304,0.203,0.534,0.269,0.806,0.401,0.215,0.206,0.516,0.195,0.816,0.437,0.295,0.199,0.543,0.222,0.932,0.465,0.214,0.225
Raw Data (Abs Spectrum),460,0.511,0.254,0.804,0.418,0.298,0.197,0.521,0.263,0.781,0.391,0.211,0.2,0.503,0.189,0.79,0.426,0.29,0.193,0.527,0.214,0.903,0.452,0.21,0.219
Raw Data (Abs Spectrum),470,0.497,0.242,0.78,0.403,0.288,0.188,0.503,0.252,0.757,0.378,0.203,0.191,0.486,0.179,0.765,0.411,0.28,0.184,0.508,0.203,0.877,0.436,0.202,0.208
Raw Data (Abs Spectrum),480,0.484,0.241,0.777,0.398,0.288,0.188,0.497,0.252,0.754,0.372,0.205,0.192,0.48,0.181,0.762,0.406,0.28,0.184,0.501,0.203,0.873,0.429,0.204,0.208
Raw Data (Abs Spectrum),490,0.465,0.236,0.76,0.389,0.281,0.185,0.484,0.249,0.737,0.365,0.202,0.188,0.467,0.179,0.744,0.397,0.274,0.181,0.487,0.199,0.854,0.419,0.2,0.203
Raw Data (Abs Spectrum),500,0.462,0.221,0.738,0.374,0.269,0.171,0.466,0.234,0.716,0.35,0.19,0.175,0.449,0.165,0.723,0.382,0.262,0.167,0.469,0.185,0.832,0.403,0.188,0.189
