User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7822,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-25,Time: 11:20:18 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.47,0.321,0.534,0.361,0.341,0.295,0.444,0.301,0.56,0.344,0.333,0.303,0.459,0.304,0.543,0.349,0.324,0.305,0.463,0.314,0.547,0.352,0.308,0.298
Raw Data (Abs Spectrum),380,0.384,0.238,0.45,0.277,0.268,0.227,0.371,0.227,0.482,0.27,0.269,0.238,0.388,0.239,0.478,0.283,0.262,0.241,0.393,0.244,0.479,0.281,0.242,0.232
Raw Data (Abs Spectrum),390,0.363,0.218,0.43,0.255,0.248,0.206,0.351,0.208,0.463,0.249,0.249,0.217,0.368,0.221,0.461,0.263,0.243,0.221,0.374,0.226,0.462,0.261,0.223,0.212
Raw Data (Abs Spectrum),400,0.354,0.21,0.423,0.246,0.24,0.196,0.343,0.201,0.456,0.241,0.241,0.208,0.36,0.213,0.454,0.255,0.235,0.211,0.367,0.218,0.454,0.253,0.216,0.202
Raw Data (Abs Spectrum),410,0.354,0.206,0.425,0.242,0.238,0.191,0.342,0.197,0.459,0.237,0.239,0.201,0.359,0.21,0.457,0.252,0.232,0.205,0.367,0.214,0.457,0.25,0.214,0.197
Raw Data (Abs Spectrum),420,0.357,0.204,0.434,0.24,0.236,0.185,0.346,0.195,0.469,0.235,0.236,0.195,0.363,0.208,0.466,0.249,0.23,0.199,0.372,0.212,0.466,0.248,0.212,0.191
Raw Data (Abs Spectrum),430,0.357,0.201,0.434,0.238,0.234,0.18,0.345,0.192,0.47,0.233,0.234,0.191,0.362,0.204,0.468,0.246,0.227,0.194,0.372,0.208,0.467,0.245,0.21,0.186
Raw Data (Abs Spectrum),440,0.364,0.201,0.45,0.238,0.236,0.178,0.353,0.193,0.487,0.233,0.235,0.188,0.37,0.205,0.485,0.247,0.228,0.191,0.38,0.209,0.484,0.246,0.211,0.183
Raw Data (Abs Spectrum),450,0.358,0.197,0.449,0.233,0.231,0.172,0.346,0.189,0.486,0.228,0.231,0.182,0.363,0.201,0.483,0.241,0.224,0.185,0.374,0.205,0.483,0.241,0.207,0.177
Raw Data (Abs Spectrum),460,0.346,0.193,0.438,0.228,0.226,0.167,0.335,0.185,0.474,0.223,0.225,0.176,0.35,0.196,0.471,0.236,0.219,0.179,0.362,0.2,0.472,0.236,0.203,0.171
Raw Data (Abs Spectrum),470,0.336,0.188,0.429,0.223,0.22,0.162,0.325,0.18,0.464,0.218,0.22,0.171,0.341,0.192,0.462,0.231,0.214,0.174,0.351,0.196,0.462,0.231,0.199,0.167
Raw Data (Abs Spectrum),480,0.327,0.183,0.425,0.215,0.213,0.156,0.315,0.176,0.46,0.21,0.213,0.164,0.331,0.186,0.458,0.223,0.207,0.167,0.343,0.19,0.458,0.223,0.193,0.16
Raw Data (Abs Spectrum),490,0.316,0.177,0.411,0.208,0.205,0.149,0.304,0.17,0.445,0.203,0.204,0.158,0.318,0.18,0.442,0.215,0.198,0.16,0.332,0.183,0.443,0.215,0.186,0.153
Raw Data (Abs Spectrum),500,0.313,0.176,0.408,0.207,0.205,0.148,0.301,0.169,0.442,0.203,0.205,0.157,0.316,0.179,0.44,0.214,0.199,0.16,0.327,0.182,0.44,0.215,0.186,0.152
Raw Data (Abs Spectrum),510,0.305,0.172,0.404,0.201,0.201,0.144,0.293,0.165,0.437,0.197,0.201,0.153,0.308,0.175,0.435,0.208,0.195,0.156,0.319,0.178,0.435,0.209,0.183,0.148
Raw Data (Abs Spectrum),520,0.292,0.167,0.397,0.193,0.194,0.139,0.28,0.16,0.429,0.189,0.194,0.147,0.294,0.169,0.427,0.2,0.188,0.15,0.306,0.172,0.427,0.201,0.177,0.143
Raw Data (Abs Spectrum),530,0.279,0.162,0.387,0.185,0.186,0.133,0.268,0.155,0.418,0.18,0.185,0.141,0.281,0.164,0.416,0.191,0.18,0.143,0.296,0.167,0.416,0.192,0.17,0.137
Raw Data (Abs Spectrum),540,0.271,0.158,0.374,0.18,0.182,0.131,0.26,0.152,0.406,0.176,0.182,0.139,0.272,0.16,0.403,0.187,0.177,0.141,0.287,0.163,0.403,0.188,0.167,0.134
Raw Data (Abs Spectrum),550,0.264,0.155,0.362,0.178,0.179,0.13,0.253,0.149,0.392,0.174,0.179,0.137,0.266,0.157,0.39,0.184,0.174,0.14,0.279,0.161,0.39,0.185,0.165,0.133
Raw Data (Abs Spectrum),560,0.26,0.154,0.357,0.176,0.178,0.128,0.249,0.148,0.386,0.172,0.178,0.136,0.262,0.156,0.384,0.182,0.173,0.138,0.274,0.159,0.385,0.183,0.164,0.131
Raw Data (Abs Spectrum),570,0.258,0.152,0.354,0.174,0.176,0.126,0.247,0.146,0.383,0.17,0.176,0.133,0.26,0.154,0.381,0.18,0.171,0.135,0.273,0.157,0.381,0.18,0.162,0.128
Raw Data (Abs Spectrum),580,0.257,0.151,0.352,0.173,0.176,0.125,0.247,0.145,0.381,0.169,0.176,0.132,0.259,0.153,0.379,0.179,0.171,0.134,0.272,0.156,0.38,0.18,0.162,0.127
Raw Data (Abs Spectrum),590,0.258,0.151,0.356,0.173,0.177,0.124,0.247,0.146,0.386,0.169,0.177,0.131,0.26,0.153,0.384,0.179,0.172,0.133,0.273,0.157,0.384,0.18,0.163,0.126
Raw Data (Abs Spectrum),600,0.257,0.15,0.357,0.172,0.176,0.122,0.246,0.145,0.386,0.168,0.176,0.129,0.258,0.152,0.384,0.177,0.171,0.131,0.272,0.155,0.384,0.178,0.162,0.124
