User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7934,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-27,Time: 12:21:51 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),610,0.453,0.226,0.674,0.295,0.17,0.161,0.428,0.149,0.666,0.291,0.171,0.144,0.484,0.174,0.673,0.322,0.167,0.147,0.419,0.216,0.721,0.307,0.183,0.154
Raw Data (Abs Spectrum),620,0.469,0.234,0.7,0.304,0.173,0.165,0.443,0.154,0.692,0.298,0.173,0.144,0.499,0.179,0.699,0.329,0.167,0.148,0.434,0.223,0.748,0.315,0.186,0.155
Raw Data (Abs Spectrum),630,0.479,0.233,0.704,0.306,0.173,0.161,0.453,0.152,0.695,0.3,0.173,0.143,0.507,0.177,0.703,0.331,0.169,0.146,0.442,0.222,0.752,0.318,0.186,0.153
Raw Data (Abs Spectrum),640,0.48,0.234,0.69,0.305,0.171,0.162,0.454,0.154,0.682,0.298,0.171,0.14,0.508,0.179,0.69,0.328,0.165,0.144,0.443,0.224,0.738,0.315,0.184,0.15
Raw Data (Abs Spectrum),650,0.459,0.225,0.667,0.292,0.166,0.157,0.434,0.15,0.659,0.287,0.167,0.137,0.487,0.173,0.667,0.316,0.162,0.14,0.424,0.216,0.713,0.303,0.179,0.147
Raw Data (Abs Spectrum),660,0.437,0.214,0.651,0.279,0.162,0.151,0.412,0.142,0.643,0.277,0.163,0.135,0.464,0.166,0.65,0.305,0.16,0.138,0.403,0.205,0.696,0.291,0.174,0.144
Raw Data (Abs Spectrum),670,0.443,0.217,0.674,0.281,0.162,0.154,0.417,0.146,0.665,0.277,0.163,0.136,0.469,0.17,0.673,0.306,0.159,0.139,0.408,0.208,0.721,0.292,0.175,0.145
Raw Data (Abs Spectrum),680,0.453,0.217,0.708,0.284,0.165,0.152,0.427,0.145,0.699,0.282,0.166,0.137,0.478,0.169,0.708,0.31,0.164,0.141,0.417,0.208,0.758,0.297,0.178,0.147
Raw Data (Abs Spectrum),690,0.438,0.212,0.688,0.273,0.161,0.15,0.413,0.142,0.679,0.271,0.161,0.134,0.463,0.165,0.688,0.299,0.159,0.138,0.403,0.203,0.737,0.286,0.173,0.144
Raw Data (Abs Spectrum),700,0.406,0.196,0.63,0.255,0.155,0.141,0.382,0.132,0.622,0.257,0.156,0.129,0.431,0.153,0.63,0.283,0.156,0.132,0.373,0.189,0.673,0.269,0.166,0.138
Raw Data (Abs Spectrum),710,0.391,0.193,0.6,0.248,0.152,0.141,0.368,0.131,0.593,0.249,0.153,0.127,0.416,0.152,0.6,0.274,0.153,0.13,0.36,0.185,0.641,0.26,0.163,0.136
Raw Data (Abs Spectrum),720,0.381,0.19,0.579,0.243,0.149,0.141,0.357,0.131,0.572,0.243,0.15,0.125,0.404,0.151,0.579,0.268,0.15,0.128,0.35,0.183,0.618,0.254,0.16,0.134
Raw Data (Abs Spectrum),730,0.373,0.187,0.568,0.24,0.151,0.14,0.35,0.129,0.561,0.242,0.152,0.127,0.397,0.149,0.567,0.267,0.153,0.13,0.343,0.18,0.605,0.252,0.161,0.136
Raw Data (Abs Spectrum),740,0.368,0.187,0.557,0.239,0.151,0.141,0.345,0.131,0.551,0.241,0.152,0.128,0.391,0.15,0.557,0.265,0.153,0.13,0.339,0.18,0.594,0.25,0.161,0.136
Raw Data (Abs Spectrum),750,0.362,0.185,0.548,0.236,0.15,0.141,0.339,0.13,0.541,0.238,0.151,0.127,0.385,0.149,0.547,0.261,0.151,0.13,0.333,0.178,0.584,0.247,0.159,0.136
