User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7816,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-25,Time: 10:58:34 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.445,0.311,0.523,0.344,0.322,0.326,0.463,0.293,0.537,0.344,0.324,0.321,0.437,0.313,0.54,0.379,0.332,0.322,0.449,0.317,0.565,0.398,0.36,0.334
Raw Data (Abs Spectrum),380,0.379,0.246,0.457,0.273,0.252,0.253,0.398,0.23,0.476,0.276,0.257,0.246,0.373,0.247,0.475,0.288,0.257,0.244,0.381,0.245,0.489,0.311,0.271,0.243
Raw Data (Abs Spectrum),390,0.36,0.227,0.44,0.252,0.232,0.23,0.379,0.213,0.459,0.255,0.238,0.223,0.355,0.228,0.458,0.264,0.236,0.222,0.361,0.226,0.47,0.289,0.248,0.219
Raw Data (Abs Spectrum),400,0.352,0.219,0.433,0.244,0.225,0.219,0.371,0.206,0.452,0.247,0.23,0.213,0.347,0.22,0.45,0.255,0.229,0.211,0.353,0.218,0.463,0.28,0.239,0.209
Raw Data (Abs Spectrum),410,0.352,0.214,0.436,0.24,0.222,0.212,0.371,0.202,0.455,0.243,0.228,0.206,0.346,0.216,0.453,0.252,0.226,0.205,0.352,0.213,0.465,0.277,0.236,0.202
Raw Data (Abs Spectrum),420,0.356,0.212,0.445,0.237,0.22,0.205,0.375,0.199,0.464,0.241,0.226,0.2,0.35,0.213,0.462,0.25,0.223,0.198,0.354,0.21,0.474,0.276,0.234,0.196
Raw Data (Abs Spectrum),430,0.355,0.208,0.446,0.234,0.217,0.199,0.374,0.196,0.465,0.239,0.223,0.195,0.349,0.21,0.463,0.248,0.221,0.193,0.353,0.206,0.475,0.273,0.231,0.19
Raw Data (Abs Spectrum),440,0.362,0.208,0.463,0.235,0.219,0.196,0.382,0.196,0.483,0.239,0.225,0.192,0.356,0.21,0.48,0.248,0.222,0.19,0.36,0.207,0.492,0.274,0.232,0.187
Raw Data (Abs Spectrum),450,0.356,0.204,0.461,0.23,0.214,0.189,0.376,0.192,0.481,0.234,0.22,0.185,0.349,0.206,0.479,0.243,0.217,0.184,0.354,0.203,0.491,0.269,0.227,0.181
