User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7855,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-26,Time: 8:22:41 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.452,0.356,0.623,0.398,0.294,0.3,0.461,0.353,0.631,0.405,0.271,0.341,0.489,0.394,0.67,0.404,0.344,0.309,0.46,0.37,0.677,0.372,0.287,0.321
Raw Data (Abs Spectrum),380,0.388,0.291,0.559,0.327,0.225,0.227,0.398,0.291,0.572,0.336,0.206,0.265,0.423,0.327,0.606,0.313,0.268,0.23,0.394,0.294,0.601,0.285,0.199,0.229
Raw Data (Abs Spectrum),390,0.372,0.274,0.543,0.307,0.207,0.207,0.382,0.274,0.556,0.316,0.19,0.244,0.404,0.308,0.59,0.29,0.248,0.209,0.378,0.273,0.583,0.265,0.178,0.205
Raw Data (Abs Spectrum),400,0.366,0.266,0.538,0.3,0.202,0.198,0.376,0.268,0.551,0.309,0.185,0.235,0.396,0.3,0.584,0.283,0.242,0.2,0.371,0.265,0.577,0.258,0.173,0.197
Raw Data (Abs Spectrum),410,0.368,0.263,0.543,0.298,0.201,0.193,0.377,0.265,0.556,0.308,0.185,0.23,0.397,0.297,0.59,0.282,0.24,0.195,0.373,0.261,0.583,0.257,0.172,0.192
Raw Data (Abs Spectrum),420,0.379,0.269,0.563,0.305,0.207,0.194,0.388,0.271,0.575,0.314,0.19,0.23,0.402,0.301,0.609,0.287,0.245,0.196,0.384,0.258,0.603,0.264,0.178,0.193
Raw Data (Abs Spectrum),430,0.379,0.266,0.567,0.303,0.205,0.189,0.387,0.268,0.579,0.312,0.189,0.226,0.4,0.298,0.613,0.286,0.242,0.191,0.383,0.254,0.607,0.263,0.176,0.188
Raw Data (Abs Spectrum),440,0.386,0.266,0.588,0.305,0.207,0.186,0.394,0.269,0.6,0.314,0.191,0.223,0.408,0.298,0.634,0.287,0.244,0.188,0.391,0.254,0.628,0.265,0.178,0.185
Raw Data (Abs Spectrum),450,0.383,0.264,0.588,0.301,0.206,0.182,0.391,0.266,0.599,0.309,0.19,0.219,0.403,0.294,0.633,0.284,0.242,0.185,0.388,0.25,0.628,0.261,0.176,0.182
