User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7972,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-28,Time: 12:51:03 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate314,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Raw Data (Abs Spectrum),600,0.606,0.147,0.869,0.362,0.182,0.14,0.607,0.14,0.885,0.346,0.243,0.16,0.614,0.218,1.128,0.423,0.206,0.138
Raw Data (Abs Spectrum),610,0.6,0.146,0.875,0.361,0.18,0.137,0.602,0.139,0.892,0.346,0.241,0.157,0.609,0.217,1.135,0.422,0.204,0.135
Raw Data (Abs Spectrum),620,0.612,0.147,0.895,0.367,0.182,0.136,0.611,0.14,0.919,0.351,0.244,0.156,0.618,0.219,1.159,0.429,0.207,0.134
Raw Data (Abs Spectrum),630,0.616,0.146,0.898,0.367,0.181,0.133,0.617,0.139,0.921,0.351,0.244,0.153,0.626,0.218,1.162,0.431,0.206,0.132
Raw Data (Abs Spectrum),640,0.614,0.144,0.877,0.364,0.179,0.13,0.612,0.137,0.902,0.348,0.241,0.149,0.621,0.216,1.139,0.427,0.204,0.128
Raw Data (Abs Spectrum),650,0.594,0.141,0.853,0.353,0.176,0.129,0.593,0.134,0.876,0.338,0.237,0.147,0.599,0.21,1.113,0.413,0.199,0.127
Raw Data (Abs Spectrum),660,0.571,0.139,0.843,0.343,0.172,0.128,0.571,0.131,0.86,0.328,0.232,0.146,0.577,0.204,1.102,0.399,0.195,0.126
Raw Data (Abs Spectrum),670,0.573,0.138,0.868,0.342,0.171,0.128,0.572,0.131,0.887,0.327,0.232,0.145,0.578,0.203,1.134,0.399,0.194,0.126
Raw Data (Abs Spectrum),680,0.578,0.138,0.909,0.344,0.172,0.128,0.58,0.131,0.926,0.33,0.233,0.145,0.589,0.205,1.183,0.402,0.196,0.126
Raw Data (Abs Spectrum),690,0.562,0.135,0.877,0.334,0.169,0.126,0.563,0.129,0.894,0.32,0.229,0.143,0.569,0.2,1.144,0.389,0.192,0.124
Raw Data (Abs Spectrum),700,0.533,0.132,0.813,0.319,0.164,0.123,0.535,0.125,0.824,0.306,0.222,0.14,0.54,0.192,1.069,0.37,0.186,0.121
Raw Data (Abs Spectrum),710,0.518,0.131,0.776,0.312,0.163,0.124,0.519,0.124,0.789,0.299,0.22,0.14,0.521,0.188,1.027,0.361,0.183,0.122
Raw Data (Abs Spectrum),720,0.506,0.129,0.75,0.306,0.16,0.122,0.505,0.123,0.764,0.293,0.217,0.138,0.506,0.184,0.998,0.352,0.18,0.12
Raw Data (Abs Spectrum),730,0.497,0.131,0.74,0.304,0.161,0.124,0.498,0.124,0.751,0.291,0.217,0.139,0.499,0.183,0.986,0.349,0.181,0.122
Raw Data (Abs Spectrum),740,0.491,0.132,0.727,0.302,0.162,0.125,0.49,0.125,0.739,0.289,0.217,0.14,0.491,0.183,0.973,0.345,0.181,0.123
Raw Data (Abs Spectrum),750,0.482,0.131,0.715,0.297,0.16,0.125,0.482,0.124,0.726,0.285,0.215,0.139,0.481,0.18,0.959,0.34,0.179,0.123
