User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7870,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-26,Time: 9:32:15 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.477,0.332,0.609,0.397,0.311,0.255,0.497,0.349,0.628,0.381,0.303,0.252,0.439,0.369,0.664,0.426,0.299,0.253,0.512,0.357,0.654,0.398,0.302,0.267
Raw Data (Abs Spectrum),380,0.401,0.254,0.534,0.316,0.237,0.186,0.421,0.275,0.557,0.305,0.232,0.184,0.356,0.284,0.575,0.346,0.229,0.185,0.414,0.263,0.556,0.309,0.226,0.198
Raw Data (Abs Spectrum),390,0.38,0.233,0.513,0.293,0.216,0.169,0.401,0.254,0.537,0.282,0.212,0.167,0.335,0.261,0.552,0.323,0.208,0.168,0.39,0.238,0.532,0.283,0.208,0.18
Raw Data (Abs Spectrum),400,0.372,0.225,0.505,0.284,0.209,0.162,0.393,0.245,0.53,0.273,0.205,0.16,0.328,0.254,0.544,0.313,0.202,0.161,0.383,0.228,0.524,0.275,0.202,0.173
Raw Data (Abs Spectrum),410,0.373,0.221,0.508,0.282,0.207,0.161,0.394,0.241,0.533,0.27,0.203,0.158,0.328,0.25,0.548,0.311,0.199,0.159,0.383,0.224,0.528,0.272,0.202,0.171
Raw Data (Abs Spectrum),420,0.38,0.219,0.521,0.281,0.205,0.173,0.399,0.238,0.546,0.269,0.202,0.171,0.332,0.246,0.562,0.309,0.197,0.172,0.388,0.221,0.54,0.27,0.21,0.183
Raw Data (Abs Spectrum),430,0.38,0.216,0.523,0.279,0.203,0.17,0.4,0.236,0.549,0.267,0.2,0.167,0.333,0.244,0.565,0.307,0.195,0.168,0.389,0.217,0.543,0.268,0.209,0.179
Raw Data (Abs Spectrum),440,0.391,0.217,0.545,0.282,0.206,0.17,0.41,0.236,0.572,0.269,0.202,0.167,0.341,0.244,0.588,0.309,0.197,0.168,0.399,0.217,0.566,0.271,0.212,0.178
Raw Data (Abs Spectrum),450,0.384,0.213,0.542,0.275,0.202,0.168,0.404,0.231,0.569,0.263,0.198,0.165,0.336,0.239,0.585,0.302,0.193,0.166,0.393,0.212,0.563,0.264,0.21,0.176
Raw Data (Abs Spectrum),460,0.371,0.207,0.524,0.267,0.197,0.161,0.391,0.226,0.552,0.254,0.194,0.158,0.324,0.234,0.567,0.293,0.189,0.159,0.381,0.205,0.545,0.256,0.204,0.169
Raw Data (Abs Spectrum),470,0.359,0.202,0.51,0.259,0.193,0.149,0.38,0.22,0.537,0.247,0.189,0.146,0.314,0.229,0.552,0.284,0.185,0.147,0.37,0.199,0.531,0.248,0.195,0.156
Raw Data (Abs Spectrum),480,0.349,0.196,0.504,0.25,0.187,0.156,0.37,0.214,0.532,0.238,0.184,0.152,0.305,0.222,0.546,0.275,0.18,0.153,0.361,0.192,0.525,0.239,0.196,0.163
Raw Data (Abs Spectrum),490,0.336,0.189,0.484,0.24,0.178,0.157,0.357,0.206,0.512,0.23,0.176,0.154,0.293,0.215,0.527,0.265,0.172,0.155,0.348,0.185,0.505,0.23,0.192,0.163
Raw Data (Abs Spectrum),500,0.333,0.188,0.481,0.239,0.179,0.133,0.354,0.205,0.508,0.228,0.176,0.131,0.291,0.214,0.522,0.262,0.173,0.131,0.346,0.183,0.502,0.229,0.18,0.14
Raw Data (Abs Spectrum),510,0.325,0.184,0.474,0.232,0.175,0.129,0.346,0.201,0.502,0.221,0.172,0.127,0.284,0.21,0.515,0.254,0.169,0.127,0.338,0.178,0.495,0.222,0.176,0.135
Raw Data (Abs Spectrum),520,0.311,0.177,0.463,0.221,0.169,0.132,0.332,0.194,0.491,0.211,0.166,0.129,0.271,0.204,0.503,0.243,0.164,0.129,0.325,0.171,0.484,0.212,0.173,0.137
Raw Data (Abs Spectrum),530,0.298,0.171,0.448,0.211,0.163,0.144,0.318,0.187,0.476,0.202,0.16,0.141,0.259,0.197,0.487,0.232,0.157,0.141,0.312,0.165,0.469,0.202,0.175,0.149
Raw Data (Abs Spectrum),540,0.288,0.168,0.432,0.205,0.159,0.138,0.309,0.183,0.459,0.196,0.157,0.135,0.251,0.193,0.47,0.225,0.154,0.135,0.304,0.16,0.452,0.196,0.17,0.142
Raw Data (Abs Spectrum),550,0.281,0.165,0.416,0.202,0.157,0.122,0.301,0.18,0.443,0.193,0.154,0.119,0.245,0.191,0.454,0.221,0.153,0.119,0.297,0.157,0.437,0.193,0.16,0.127
Raw Data (Abs Spectrum),560,0.278,0.164,0.411,0.2,0.157,0.116,0.298,0.179,0.438,0.191,0.153,0.112,0.241,0.191,0.448,0.219,0.152,0.112,0.294,0.156,0.432,0.191,0.156,0.119
