User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7959,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-28,Time: 12:04:41 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Raw Data (Abs Spectrum),510,0.514,0.259,0.78,0.34,0.221,0.162,0.486,0.242,0.769,0.355,0.218,0.163,0.514,0.267,0.751,0.318,0.218,0.208
Raw Data (Abs Spectrum),520,0.489,0.247,0.76,0.324,0.213,0.157,0.462,0.231,0.748,0.339,0.21,0.158,0.488,0.254,0.731,0.302,0.211,0.203
Raw Data (Abs Spectrum),530,0.465,0.235,0.734,0.307,0.204,0.15,0.438,0.219,0.723,0.322,0.202,0.152,0.463,0.242,0.707,0.286,0.202,0.196
Raw Data (Abs Spectrum),540,0.448,0.227,0.708,0.298,0.2,0.148,0.422,0.212,0.697,0.313,0.198,0.149,0.446,0.234,0.681,0.277,0.198,0.194
Raw Data (Abs Spectrum),550,0.436,0.223,0.686,0.291,0.197,0.147,0.41,0.209,0.675,0.307,0.196,0.149,0.433,0.229,0.659,0.271,0.196,0.194
Raw Data (Abs Spectrum),560,0.429,0.22,0.678,0.288,0.196,0.146,0.404,0.207,0.667,0.304,0.195,0.148,0.427,0.227,0.652,0.268,0.195,0.193
Raw Data (Abs Spectrum),570,0.426,0.218,0.678,0.286,0.194,0.143,0.402,0.204,0.667,0.302,0.193,0.146,0.424,0.225,0.652,0.266,0.193,0.191
Raw Data (Abs Spectrum),580,0.429,0.218,0.682,0.287,0.194,0.143,0.405,0.205,0.671,0.304,0.193,0.146,0.427,0.226,0.656,0.268,0.194,0.191
Raw Data (Abs Spectrum),590,0.433,0.22,0.696,0.289,0.196,0.143,0.409,0.207,0.684,0.306,0.195,0.147,0.431,0.228,0.67,0.271,0.196,0.193
Raw Data (Abs Spectrum),600,0.432,0.22,0.707,0.29,0.196,0.142,0.408,0.207,0.694,0.307,0.195,0.146,0.431,0.229,0.68,0.271,0.195,0.192
Raw Data (Abs Spectrum),610,0.436,0.223,0.725,0.294,0.196,0.141,0.412,0.21,0.712,0.311,0.195,0.145,0.436,0.232,0.698,0.276,0.196,0.19
Raw Data (Abs Spectrum),620,0.459,0.231,0.763,0.306,0.201,0.142,0.434,0.218,0.749,0.324,0.2,0.146,0.459,0.242,0.734,0.288,0.201,0.193
Raw Data (Abs Spectrum),630,0.484,0.235,0.778,0.312,0.203,0.141,0.459,0.222,0.764,0.329,0.201,0.145,0.485,0.246,0.748,0.294,0.203,0.191
Raw Data (Abs Spectrum),640,0.49,0.235,0.76,0.31,0.202,0.139,0.463,0.222,0.746,0.328,0.2,0.143,0.49,0.246,0.731,0.293,0.201,0.189
Raw Data (Abs Spectrum),650,0.462,0.224,0.726,0.295,0.196,0.135,0.437,0.211,0.713,0.312,0.194,0.14,0.462,0.235,0.698,0.277,0.195,0.186
Raw Data (Abs Spectrum),660,0.432,0.212,0.705,0.279,0.189,0.133,0.408,0.2,0.691,0.296,0.187,0.137,0.431,0.222,0.677,0.262,0.188,0.183
Raw Data (Abs Spectrum),670,0.436,0.213,0.727,0.281,0.19,0.133,0.412,0.201,0.713,0.299,0.188,0.138,0.435,0.222,0.699,0.265,0.19,0.184
Raw Data (Abs Spectrum),680,0.455,0.218,0.774,0.289,0.195,0.134,0.43,0.206,0.759,0.306,0.193,0.139,0.455,0.227,0.744,0.273,0.194,0.186
Raw Data (Abs Spectrum),690,0.439,0.211,0.754,0.277,0.19,0.131,0.415,0.199,0.741,0.294,0.188,0.137,0.438,0.22,0.725,0.261,0.19,0.183
Raw Data (Abs Spectrum),700,0.402,0.196,0.688,0.255,0.18,0.126,0.379,0.185,0.675,0.272,0.179,0.132,0.4,0.204,0.661,0.239,0.18,0.178
Raw Data (Abs Spectrum),710,0.38,0.188,0.646,0.244,0.175,0.125,0.357,0.177,0.635,0.26,0.175,0.131,0.377,0.195,0.622,0.229,0.176,0.178
Raw Data (Abs Spectrum),720,0.365,0.183,0.619,0.237,0.172,0.123,0.343,0.173,0.608,0.253,0.171,0.129,0.362,0.189,0.595,0.222,0.172,0.176
Raw Data (Abs Spectrum),730,0.356,0.181,0.605,0.233,0.171,0.124,0.335,0.171,0.594,0.249,0.171,0.13,0.353,0.187,0.582,0.218,0.172,0.177
Raw Data (Abs Spectrum),740,0.349,0.18,0.592,0.231,0.171,0.125,0.328,0.171,0.582,0.247,0.171,0.132,0.346,0.186,0.57,0.216,0.172,0.179
Raw Data (Abs Spectrum),750,0.341,0.177,0.58,0.227,0.169,0.125,0.321,0.168,0.57,0.242,0.169,0.131,0.338,0.182,0.558,0.212,0.17,0.178
