User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7959,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-28,Time: 12:04:41 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,0.704,0.436,0.935,0.531,0.354,0.319,0.682,0.421,0.939,0.544,0.349,0.313,0.733,0.469,0.936,0.514,0.359,0.355
Raw Data (Abs Spectrum),380,0.627,0.36,0.868,0.454,0.283,0.243,0.597,0.334,0.854,0.465,0.279,0.238,0.633,0.374,0.841,0.425,0.28,0.279
Raw Data (Abs Spectrum),390,0.604,0.337,0.849,0.429,0.263,0.22,0.574,0.31,0.835,0.441,0.26,0.216,0.606,0.347,0.82,0.399,0.258,0.257
Raw Data (Abs Spectrum),400,0.594,0.327,0.84,0.417,0.256,0.211,0.563,0.301,0.826,0.43,0.253,0.207,0.596,0.336,0.811,0.389,0.252,0.249
Raw Data (Abs Spectrum),410,0.596,0.322,0.847,0.415,0.255,0.206,0.566,0.297,0.831,0.428,0.251,0.203,0.599,0.332,0.815,0.387,0.25,0.244
Raw Data (Abs Spectrum),420,0.608,0.321,0.869,0.416,0.254,0.201,0.578,0.296,0.854,0.429,0.25,0.198,0.611,0.332,0.837,0.389,0.25,0.24
Raw Data (Abs Spectrum),430,0.611,0.319,0.877,0.415,0.252,0.197,0.58,0.294,0.861,0.428,0.248,0.194,0.614,0.329,0.844,0.388,0.248,0.236
Raw Data (Abs Spectrum),440,0.63,0.323,0.913,0.422,0.257,0.195,0.599,0.299,0.898,0.434,0.252,0.193,0.633,0.333,0.88,0.397,0.252,0.236
Raw Data (Abs Spectrum),450,0.621,0.315,0.906,0.412,0.253,0.19,0.589,0.292,0.891,0.424,0.247,0.189,0.623,0.326,0.873,0.387,0.248,0.232
Raw Data (Abs Spectrum),460,0.594,0.302,0.868,0.395,0.246,0.185,0.563,0.28,0.854,0.407,0.242,0.184,0.595,0.312,0.836,0.37,0.242,0.228
Raw Data (Abs Spectrum),470,0.574,0.292,0.841,0.382,0.24,0.18,0.544,0.272,0.828,0.395,0.236,0.18,0.575,0.301,0.81,0.358,0.238,0.224
Raw Data (Abs Spectrum),480,0.555,0.281,0.827,0.368,0.233,0.174,0.525,0.261,0.814,0.381,0.23,0.174,0.555,0.289,0.796,0.344,0.231,0.218
Raw Data (Abs Spectrum),490,0.533,0.27,0.801,0.353,0.224,0.166,0.504,0.25,0.789,0.367,0.221,0.166,0.532,0.277,0.771,0.33,0.221,0.209
Raw Data (Abs Spectrum),500,0.528,0.267,0.793,0.351,0.225,0.166,0.499,0.249,0.781,0.365,0.222,0.167,0.528,0.275,0.764,0.328,0.222,0.211
