User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 8001,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-29,Time: 1:23:15 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID1: plate315,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18
Raw Data (Abs Spectrum),370,1.131,0.418,1.443,0.598,0.42,0.343,1.058,0.402,1.46,0.564,0.349,0.374,1.107,0.587,1.527,0.6,0.419,0.431
Raw Data (Abs Spectrum),380,1.053,0.343,1.377,0.519,0.354,0.277,0.984,0.335,1.406,0.497,0.287,0.309,1.03,0.514,1.475,0.525,0.351,0.363
Raw Data (Abs Spectrum),390,1.03,0.325,1.36,0.495,0.336,0.258,0.964,0.317,1.393,0.476,0.269,0.29,1.009,0.494,1.462,0.503,0.334,0.342
Raw Data (Abs Spectrum),400,1.02,0.318,1.354,0.486,0.331,0.25,0.957,0.31,1.384,0.468,0.264,0.282,0.999,0.485,1.459,0.495,0.328,0.332
Raw Data (Abs Spectrum),410,1.026,0.317,1.377,0.485,0.33,0.247,0.964,0.308,1.41,0.467,0.263,0.279,1.007,0.485,1.489,0.496,0.328,0.328
Raw Data (Abs Spectrum),420,1.043,0.318,1.424,0.486,0.331,0.245,0.982,0.309,1.455,0.469,0.262,0.276,1.025,0.492,1.534,0.504,0.331,0.324
Raw Data (Abs Spectrum),430,1.043,0.315,1.442,0.484,0.329,0.241,0.983,0.306,1.477,0.467,0.26,0.272,1.025,0.49,1.558,0.502,0.328,0.317
Raw Data (Abs Spectrum),440,1.062,0.318,1.497,0.488,0.332,0.241,1.002,0.31,1.532,0.471,0.263,0.271,1.044,0.498,1.617,0.512,0.332,0.316
Raw Data (Abs Spectrum),450,1.049,0.312,1.471,0.48,0.328,0.235,0.988,0.304,1.504,0.464,0.26,0.264,1.03,0.489,1.585,0.504,0.328,0.308
Raw Data (Abs Spectrum),460,1.022,0.305,1.41,0.47,0.324,0.229,0.962,0.296,1.442,0.455,0.256,0.257,1.003,0.474,1.517,0.49,0.323,0.299
Raw Data (Abs Spectrum),470,0.997,0.297,1.376,0.459,0.318,0.222,0.937,0.287,1.407,0.446,0.252,0.249,0.977,0.458,1.481,0.477,0.316,0.291
Raw Data (Abs Spectrum),480,0.974,0.289,1.357,0.447,0.311,0.214,0.915,0.279,1.39,0.434,0.246,0.241,0.954,0.444,1.458,0.464,0.31,0.281
Raw Data (Abs Spectrum),490,0.942,0.278,1.323,0.432,0.3,0.204,0.884,0.268,1.358,0.421,0.236,0.229,0.921,0.426,1.424,0.446,0.298,0.268
Raw Data (Abs Spectrum),500,0.932,0.276,1.304,0.429,0.3,0.203,0.875,0.266,1.337,0.418,0.237,0.228,0.911,0.42,1.404,0.442,0.297,0.266
Raw Data (Abs Spectrum),510,0.912,0.27,1.277,0.42,0.296,0.199,0.855,0.259,1.309,0.41,0.234,0.222,0.89,0.409,1.372,0.431,0.292,0.259
Raw Data (Abs Spectrum),520,0.877,0.26,1.245,0.405,0.288,0.192,0.821,0.249,1.277,0.396,0.227,0.214,0.855,0.39,1.335,0.413,0.284,0.25
Raw Data (Abs Spectrum),530,0.846,0.25,1.205,0.389,0.279,0.184,0.791,0.239,1.236,0.381,0.219,0.206,0.823,0.373,1.292,0.396,0.276,0.24
Raw Data (Abs Spectrum),540,0.821,0.243,1.161,0.379,0.274,0.18,0.767,0.232,1.192,0.372,0.215,0.201,0.798,0.36,1.244,0.384,0.27,0.234
Raw Data (Abs Spectrum),550,0.797,0.238,1.122,0.371,0.269,0.177,0.744,0.227,1.152,0.365,0.212,0.196,0.775,0.349,1.203,0.373,0.264,0.229
Raw Data (Abs Spectrum),560,0.786,0.236,1.108,0.367,0.268,0.175,0.733,0.224,1.138,0.361,0.21,0.194,0.763,0.344,1.19,0.369,0.262,0.226
Raw Data (Abs Spectrum),570,0.778,0.233,1.107,0.363,0.265,0.172,0.727,0.221,1.137,0.357,0.208,0.191,0.755,0.34,1.189,0.365,0.26,0.222
Raw Data (Abs Spectrum),580,0.773,0.231,1.109,0.361,0.265,0.171,0.722,0.219,1.139,0.356,0.207,0.189,0.75,0.338,1.194,0.364,0.258,0.22
Raw Data (Abs Spectrum),590,0.774,0.231,1.126,0.361,0.266,0.172,0.723,0.22,1.157,0.357,0.208,0.19,0.75,0.339,1.214,0.365,0.26,0.221
Raw Data (Abs Spectrum),600,0.767,0.229,1.136,0.359,0.264,0.17,0.718,0.218,1.168,0.355,0.207,0.188,0.743,0.337,1.227,0.364,0.259,0.218
Raw Data (Abs Spectrum),610,0.764,0.229,1.156,0.359,0.264,0.168,0.714,0.218,1.189,0.355,0.206,0.186,0.739,0.338,1.25,0.365,0.258,0.215
Raw Data (Abs Spectrum),620,0.778,0.232,1.199,0.365,0.267,0.169,0.729,0.221,1.23,0.361,0.209,0.187,0.753,0.346,1.296,0.374,0.262,0.216
Raw Data (Abs Spectrum),630,0.794,0.232,1.208,0.367,0.268,0.167,0.745,0.222,1.24,0.363,0.209,0.185,0.768,0.349,1.307,0.378,0.263,0.213
Raw Data (Abs Spectrum),640,0.791,0.229,1.177,0.364,0.266,0.165,0.741,0.22,1.209,0.361,0.207,0.182,0.765,0.346,1.275,0.375,0.26,0.209
Raw Data (Abs Spectrum),650,0.763,0.223,1.137,0.353,0.26,0.161,0.714,0.214,1.168,0.351,0.202,0.178,0.737,0.334,1.23,0.362,0.254,0.205
Raw Data (Abs Spectrum),660,0.734,0.216,1.117,0.342,0.252,0.159,0.686,0.207,1.148,0.34,0.197,0.175,0.708,0.32,1.209,0.348,0.247,0.201
Raw Data (Abs Spectrum),670,0.737,0.216,1.159,0.342,0.253,0.16,0.69,0.207,1.19,0.339,0.196,0.176,0.711,0.32,1.256,0.348,0.247,0.203
Raw Data (Abs Spectrum),680,0.755,0.219,1.225,0.346,0.256,0.162,0.708,0.21,1.259,0.343,0.199,0.179,0.73,0.326,1.327,0.355,0.251,0.205
Raw Data (Abs Spectrum),690,0.733,0.213,1.179,0.336,0.25,0.157,0.686,0.204,1.213,0.334,0.195,0.173,0.708,0.315,1.275,0.343,0.244,0.199
Raw Data (Abs Spectrum),700,0.692,0.203,1.078,0.319,0.24,0.15,0.646,0.194,1.109,0.318,0.188,0.165,0.667,0.295,1.161,0.322,0.235,0.19
Raw Data (Abs Spectrum),710,0.665,0.197,1.021,0.31,0.235,0.147,0.621,0.188,1.05,0.31,0.185,0.161,0.64,0.283,1.099,0.309,0.229,0.186
Raw Data (Abs Spectrum),720,0.646,0.194,0.982,0.304,0.231,0.145,0.602,0.184,1.011,0.304,0.182,0.158,0.621,0.275,1.057,0.302,0.225,0.182
Raw Data (Abs Spectrum),730,0.635,0.193,0.964,0.301,0.231,0.146,0.592,0.183,0.993,0.301,0.182,0.159,0.611,0.272,1.038,0.298,0.225,0.182
Raw Data (Abs Spectrum),740,0.624,0.192,0.946,0.298,0.23,0.146,0.581,0.183,0.974,0.299,0.182,0.159,0.599,0.268,1.02,0.294,0.223,0.182
Raw Data (Abs Spectrum),750,0.613,0.189,0.93,0.294,0.228,0.145,0.57,0.18,0.958,0.295,0.18,0.157,0.588,0.263,1.002,0.289,0.221,0.18
