User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7825,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-25,Time: 11:31:57 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.435,0.315,0.502,0.341,0.324,0.297,0.416,0.32,0.505,0.341,0.326,0.31,0.431,0.408,0.555,0.344,0.334,0.304,0.451,0.328,0.527,0.363,0.338,0.307
Raw Data (Abs Spectrum),380,0.361,0.24,0.43,0.264,0.252,0.225,0.342,0.248,0.436,0.269,0.258,0.238,0.349,0.321,0.468,0.268,0.266,0.233,0.354,0.237,0.431,0.278,0.261,0.234
Raw Data (Abs Spectrum),390,0.342,0.221,0.412,0.243,0.232,0.204,0.322,0.229,0.418,0.248,0.239,0.216,0.328,0.295,0.448,0.247,0.246,0.212,0.331,0.216,0.409,0.256,0.24,0.212
Raw Data (Abs Spectrum),400,0.334,0.213,0.405,0.235,0.225,0.196,0.314,0.221,0.411,0.24,0.231,0.206,0.32,0.284,0.441,0.239,0.239,0.203,0.322,0.208,0.402,0.248,0.233,0.203
Raw Data (Abs Spectrum),410,0.334,0.209,0.407,0.232,0.222,0.19,0.313,0.217,0.414,0.237,0.229,0.2,0.319,0.277,0.444,0.236,0.236,0.198,0.322,0.205,0.404,0.245,0.23,0.197
Raw Data (Abs Spectrum),420,0.337,0.207,0.416,0.23,0.221,0.185,0.316,0.214,0.422,0.235,0.228,0.194,0.321,0.272,0.453,0.234,0.235,0.192,0.325,0.202,0.412,0.243,0.229,0.192
Raw Data (Abs Spectrum),430,0.337,0.203,0.417,0.228,0.218,0.18,0.315,0.211,0.424,0.233,0.226,0.189,0.32,0.266,0.454,0.232,0.232,0.188,0.324,0.199,0.413,0.241,0.226,0.187
Raw Data (Abs Spectrum),440,0.344,0.204,0.433,0.229,0.22,0.178,0.322,0.211,0.44,0.234,0.227,0.185,0.326,0.265,0.472,0.232,0.233,0.185,0.331,0.2,0.429,0.242,0.227,0.184
Raw Data (Abs Spectrum),450,0.338,0.2,0.432,0.224,0.215,0.172,0.316,0.206,0.438,0.229,0.223,0.179,0.32,0.258,0.47,0.227,0.228,0.179,0.324,0.196,0.427,0.238,0.223,0.178
Raw Data (Abs Spectrum),460,0.327,0.195,0.421,0.219,0.21,0.167,0.305,0.202,0.427,0.224,0.217,0.173,0.308,0.251,0.458,0.222,0.223,0.173,0.313,0.192,0.416,0.233,0.217,0.173
Raw Data (Abs Spectrum),470,0.317,0.19,0.411,0.214,0.205,0.162,0.295,0.197,0.417,0.219,0.212,0.168,0.299,0.243,0.448,0.216,0.217,0.169,0.303,0.187,0.407,0.227,0.212,0.168
Raw Data (Abs Spectrum),480,0.308,0.184,0.408,0.207,0.198,0.156,0.286,0.192,0.414,0.212,0.205,0.162,0.289,0.236,0.444,0.21,0.21,0.162,0.294,0.182,0.403,0.221,0.206,0.162
Raw Data (Abs Spectrum),490,0.297,0.178,0.394,0.2,0.19,0.15,0.276,0.184,0.4,0.205,0.197,0.155,0.279,0.226,0.429,0.203,0.202,0.155,0.283,0.175,0.389,0.213,0.197,0.155
Raw Data (Abs Spectrum),500,0.294,0.176,0.391,0.199,0.19,0.149,0.272,0.183,0.397,0.203,0.197,0.154,0.276,0.223,0.426,0.201,0.201,0.154,0.28,0.174,0.386,0.212,0.196,0.153
Raw Data (Abs Spectrum),510,0.286,0.172,0.387,0.193,0.185,0.145,0.265,0.179,0.392,0.197,0.193,0.15,0.268,0.217,0.421,0.195,0.197,0.15,0.272,0.17,0.382,0.206,0.192,0.149
Raw Data (Abs Spectrum),520,0.274,0.167,0.38,0.185,0.179,0.14,0.253,0.173,0.385,0.19,0.186,0.144,0.256,0.209,0.413,0.187,0.19,0.145,0.26,0.164,0.375,0.199,0.185,0.144
Raw Data (Abs Spectrum),530,0.262,0.161,0.37,0.178,0.172,0.135,0.242,0.167,0.375,0.182,0.178,0.138,0.244,0.202,0.402,0.18,0.182,0.139,0.248,0.159,0.365,0.192,0.178,0.139
Raw Data (Abs Spectrum),540,0.254,0.157,0.358,0.173,0.168,0.132,0.234,0.164,0.363,0.178,0.174,0.136,0.236,0.197,0.389,0.175,0.178,0.136,0.24,0.155,0.353,0.187,0.174,0.136
Raw Data (Abs Spectrum),550,0.247,0.154,0.345,0.17,0.165,0.131,0.227,0.161,0.35,0.174,0.172,0.134,0.229,0.192,0.375,0.172,0.175,0.134,0.233,0.152,0.341,0.183,0.171,0.134
Raw Data (Abs Spectrum),560,0.244,0.152,0.341,0.168,0.164,0.129,0.223,0.159,0.345,0.172,0.17,0.132,0.226,0.19,0.37,0.17,0.173,0.133,0.23,0.151,0.336,0.181,0.17,0.132
Raw Data (Abs Spectrum),570,0.242,0.15,0.338,0.166,0.162,0.127,0.222,0.157,0.342,0.17,0.168,0.129,0.224,0.187,0.366,0.168,0.172,0.13,0.228,0.149,0.334,0.18,0.168,0.13
Raw Data (Abs Spectrum),580,0.241,0.15,0.336,0.165,0.162,0.126,0.221,0.156,0.34,0.169,0.168,0.128,0.223,0.185,0.365,0.167,0.171,0.129,0.227,0.148,0.333,0.179,0.167,0.129
Raw Data (Abs Spectrum),590,0.242,0.149,0.34,0.165,0.163,0.125,0.221,0.156,0.344,0.169,0.169,0.127,0.224,0.185,0.369,0.167,0.172,0.128,0.228,0.148,0.337,0.179,0.168,0.128
Raw Data (Abs Spectrum),600,0.241,0.148,0.341,0.164,0.162,0.123,0.22,0.155,0.345,0.168,0.168,0.125,0.222,0.184,0.369,0.166,0.171,0.126,0.227,0.148,0.337,0.178,0.168,0.126
Raw Data (Abs Spectrum),610,0.241,0.148,0.342,0.164,0.161,0.121,0.221,0.154,0.346,0.168,0.168,0.123,0.223,0.182,0.37,0.166,0.171,0.124,0.227,0.147,0.338,0.178,0.167,0.124
Raw Data (Abs Spectrum),620,0.248,0.149,0.35,0.166,0.165,0.121,0.227,0.156,0.355,0.17,0.171,0.123,0.229,0.184,0.38,0.168,0.174,0.124,0.234,0.149,0.347,0.18,0.17,0.124
Raw Data (Abs Spectrum),630,0.256,0.149,0.351,0.166,0.165,0.118,0.234,0.155,0.356,0.17,0.171,0.121,0.236,0.183,0.381,0.168,0.174,0.122,0.241,0.148,0.348,0.18,0.17,0.121
Raw Data (Abs Spectrum),640,0.256,0.147,0.344,0.164,0.163,0.117,0.234,0.154,0.348,0.168,0.17,0.118,0.236,0.18,0.373,0.166,0.172,0.119,0.241,0.147,0.341,0.178,0.169,0.119
Raw Data (Abs Spectrum),650,0.245,0.144,0.337,0.159,0.159,0.115,0.224,0.15,0.341,0.163,0.165,0.117,0.226,0.176,0.365,0.161,0.168,0.118,0.231,0.144,0.334,0.174,0.164,0.117
Raw Data (Abs Spectrum),660,0.235,0.141,0.333,0.155,0.154,0.114,0.214,0.147,0.337,0.159,0.16,0.116,0.216,0.172,0.36,0.157,0.163,0.117,0.221,0.14,0.329,0.169,0.159,0.116
Raw Data (Abs Spectrum),670,0.237,0.141,0.342,0.155,0.155,0.115,0.216,0.147,0.346,0.159,0.161,0.117,0.218,0.173,0.371,0.157,0.164,0.118,0.223,0.14,0.339,0.169,0.16,0.117
Raw Data (Abs Spectrum),680,0.245,0.142,0.36,0.156,0.158,0.116,0.224,0.148,0.364,0.16,0.165,0.117,0.225,0.174,0.39,0.158,0.167,0.118,0.231,0.141,0.356,0.171,0.163,0.118
Raw Data (Abs Spectrum),690,0.236,0.138,0.351,0.151,0.153,0.113,0.215,0.144,0.356,0.155,0.16,0.115,0.217,0.168,0.381,0.153,0.162,0.116,0.222,0.137,0.347,0.166,0.159,0.115
Raw Data (Abs Spectrum),700,0.221,0.133,0.328,0.144,0.146,0.109,0.201,0.138,0.332,0.148,0.152,0.11,0.202,0.161,0.355,0.146,0.154,0.111,0.206,0.132,0.324,0.16,0.151,0.111
Raw Data (Abs Spectrum),710,0.212,0.13,0.314,0.142,0.143,0.108,0.193,0.136,0.318,0.146,0.149,0.109,0.194,0.158,0.34,0.144,0.152,0.11,0.198,0.13,0.311,0.157,0.148,0.11
Raw Data (Abs Spectrum),720,0.207,0.129,0.305,0.14,0.141,0.107,0.187,0.135,0.308,0.144,0.147,0.108,0.189,0.155,0.329,0.142,0.149,0.109,0.193,0.129,0.301,0.155,0.146,0.11
Raw Data (Abs Spectrum),730,0.205,0.13,0.302,0.141,0.142,0.109,0.186,0.136,0.306,0.145,0.147,0.11,0.187,0.156,0.326,0.143,0.15,0.111,0.191,0.13,0.299,0.156,0.146,0.111
Raw Data (Abs Spectrum),740,0.203,0.13,0.298,0.142,0.142,0.11,0.184,0.136,0.302,0.145,0.148,0.111,0.185,0.156,0.322,0.143,0.15,0.112,0.19,0.13,0.295,0.157,0.147,0.113
Raw Data (Abs Spectrum),750,0.201,0.13,0.294,0.141,0.141,0.11,0.182,0.135,0.298,0.144,0.147,0.111,0.182,0.155,0.317,0.142,0.149,0.112,0.187,0.13,0.291,0.156,0.146,0.112
