User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 7917,,,,,,,,,,,,,,,,,,,,,,,
Test name: MURIS_Ab,Date: 2021-08-27,Time: 11:30:58 AM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate316,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance spectrum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24
Raw Data (Abs Spectrum),370,0.523,0.334,0.741,0.4,0.343,0.284,0.525,0.33,0.745,0.493,0.294,0.289,0.519,0.388,0.778,0.411,0.266,0.309,0.56,0.434,0.751,0.439,0.314,0.306
Raw Data (Abs Spectrum),380,0.449,0.258,0.671,0.322,0.265,0.21,0.452,0.259,0.677,0.412,0.226,0.217,0.439,0.299,0.693,0.334,0.199,0.235,0.464,0.335,0.656,0.352,0.238,0.232
Raw Data (Abs Spectrum),390,0.43,0.239,0.653,0.301,0.241,0.19,0.433,0.24,0.662,0.385,0.209,0.197,0.419,0.273,0.675,0.313,0.182,0.214,0.442,0.306,0.637,0.33,0.22,0.211
Raw Data (Abs Spectrum),400,0.422,0.231,0.644,0.293,0.233,0.182,0.426,0.233,0.654,0.373,0.203,0.189,0.412,0.264,0.666,0.304,0.176,0.205,0.434,0.295,0.629,0.321,0.214,0.203
Raw Data (Abs Spectrum),410,0.426,0.229,0.65,0.292,0.228,0.178,0.429,0.231,0.66,0.368,0.203,0.185,0.415,0.258,0.672,0.303,0.176,0.2,0.437,0.288,0.634,0.32,0.214,0.199
Raw Data (Abs Spectrum),420,0.443,0.235,0.674,0.3,0.217,0.181,0.446,0.237,0.684,0.357,0.209,0.187,0.43,0.246,0.696,0.31,0.182,0.202,0.453,0.275,0.657,0.328,0.221,0.201
Raw Data (Abs Spectrum),430,0.444,0.233,0.679,0.299,0.214,0.177,0.448,0.235,0.69,0.354,0.208,0.183,0.432,0.242,0.702,0.309,0.18,0.198,0.455,0.271,0.662,0.327,0.22,0.197
Raw Data (Abs Spectrum),440,0.459,0.236,0.708,0.305,0.217,0.176,0.463,0.238,0.719,0.358,0.212,0.182,0.446,0.243,0.732,0.314,0.183,0.196,0.47,0.272,0.691,0.334,0.224,0.195
Raw Data (Abs Spectrum),450,0.453,0.232,0.703,0.298,0.211,0.172,0.457,0.234,0.717,0.347,0.21,0.178,0.441,0.236,0.729,0.307,0.182,0.191,0.464,0.263,0.688,0.327,0.222,0.191
Raw Data (Abs Spectrum),460,0.432,0.223,0.673,0.285,0.207,0.167,0.437,0.225,0.688,0.335,0.204,0.172,0.421,0.23,0.7,0.294,0.177,0.185,0.443,0.254,0.661,0.312,0.216,0.185
Raw Data (Abs Spectrum),470,0.414,0.213,0.648,0.273,0.207,0.16,0.418,0.215,0.664,0.33,0.197,0.164,0.404,0.228,0.676,0.282,0.171,0.176,0.425,0.251,0.638,0.299,0.208,0.177
Raw Data (Abs Spectrum),480,0.405,0.21,0.642,0.268,0.195,0.159,0.41,0.212,0.659,0.311,0.196,0.164,0.396,0.213,0.67,0.276,0.171,0.175,0.416,0.235,0.632,0.292,0.207,0.176
Raw Data (Abs Spectrum),490,0.392,0.205,0.622,0.26,0.181,0.155,0.397,0.207,0.641,0.295,0.191,0.16,0.383,0.201,0.652,0.269,0.167,0.171,0.403,0.221,0.615,0.284,0.202,0.172
Raw Data (Abs Spectrum),500,0.378,0.194,0.606,0.249,0.195,0.145,0.383,0.196,0.625,0.305,0.182,0.15,0.37,0.212,0.637,0.257,0.158,0.16,0.389,0.232,0.6,0.273,0.193,0.162
Raw Data (Abs Spectrum),510,0.367,0.189,0.596,0.241,0.192,0.141,0.373,0.191,0.615,0.296,0.179,0.146,0.36,0.207,0.626,0.249,0.155,0.156,0.379,0.226,0.59,0.264,0.189,0.158
Raw Data (Abs Spectrum),520,0.352,0.183,0.583,0.232,0.182,0.14,0.357,0.185,0.602,0.28,0.175,0.144,0.345,0.196,0.613,0.24,0.153,0.153,0.363,0.213,0.578,0.253,0.185,0.155
Raw Data (Abs Spectrum),530,0.343,0.183,0.571,0.227,0.166,0.142,0.348,0.184,0.59,0.257,0.175,0.146,0.336,0.178,0.6,0.235,0.154,0.155,0.352,0.194,0.567,0.247,0.185,0.157
Raw Data (Abs Spectrum),540,0.329,0.176,0.548,0.219,0.165,0.138,0.334,0.178,0.568,0.252,0.17,0.141,0.323,0.175,0.577,0.227,0.15,0.15,0.338,0.19,0.545,0.238,0.18,0.152
Raw Data (Abs Spectrum),550,0.313,0.167,0.523,0.209,0.17,0.131,0.318,0.169,0.543,0.255,0.162,0.134,0.308,0.18,0.552,0.217,0.143,0.142,0.323,0.194,0.521,0.228,0.171,0.145
Raw Data (Abs Spectrum),560,0.307,0.164,0.514,0.205,0.172,0.128,0.31,0.165,0.534,0.256,0.159,0.131,0.301,0.182,0.542,0.212,0.14,0.138,0.316,0.196,0.511,0.223,0.168,0.141
Raw Data (Abs Spectrum),570,0.308,0.165,0.517,0.206,0.167,0.128,0.311,0.166,0.535,0.25,0.16,0.131,0.301,0.177,0.543,0.213,0.14,0.138,0.316,0.191,0.513,0.224,0.169,0.141
Raw Data (Abs Spectrum),580,0.308,0.163,0.517,0.205,0.17,0.125,0.311,0.164,0.534,0.253,0.158,0.128,0.3,0.179,0.542,0.212,0.139,0.136,0.315,0.193,0.512,0.223,0.167,0.138
Raw Data (Abs Spectrum),590,0.311,0.165,0.528,0.207,0.172,0.126,0.313,0.165,0.544,0.255,0.16,0.129,0.303,0.18,0.551,0.214,0.141,0.136,0.318,0.195,0.521,0.225,0.169,0.139
Raw Data (Abs Spectrum),600,0.313,0.167,0.537,0.21,0.169,0.127,0.315,0.167,0.552,0.253,0.161,0.129,0.304,0.178,0.559,0.216,0.142,0.136,0.319,0.192,0.529,0.227,0.171,0.139
Raw Data (Abs Spectrum),610,0.316,0.169,0.549,0.212,0.169,0.125,0.317,0.169,0.564,0.255,0.161,0.127,0.307,0.18,0.57,0.219,0.141,0.134,0.321,0.194,0.54,0.231,0.171,0.137
Raw Data (Abs Spectrum),620,0.33,0.173,0.574,0.219,0.175,0.124,0.331,0.173,0.588,0.266,0.164,0.126,0.319,0.187,0.594,0.225,0.143,0.133,0.335,0.203,0.563,0.238,0.173,0.136
Raw Data (Abs Spectrum),630,0.347,0.176,0.583,0.223,0.174,0.122,0.348,0.176,0.599,0.268,0.166,0.125,0.336,0.188,0.604,0.229,0.144,0.132,0.352,0.204,0.573,0.243,0.175,0.135
Raw Data (Abs Spectrum),640,0.347,0.174,0.566,0.219,0.175,0.118,0.349,0.174,0.582,0.269,0.163,0.121,0.336,0.19,0.589,0.226,0.141,0.128,0.353,0.206,0.557,0.239,0.173,0.13
Raw Data (Abs Spectrum),650,0.328,0.167,0.543,0.208,0.169,0.116,0.33,0.167,0.559,0.256,0.159,0.119,0.318,0.182,0.565,0.215,0.138,0.125,0.334,0.198,0.535,0.228,0.168,0.128
Raw Data (Abs Spectrum),660,0.31,0.161,0.53,0.2,0.162,0.117,0.312,0.161,0.546,0.241,0.155,0.119,0.301,0.172,0.551,0.206,0.135,0.125,0.316,0.186,0.522,0.218,0.164,0.128
Raw Data (Abs Spectrum),670,0.313,0.161,0.548,0.201,0.164,0.117,0.315,0.161,0.562,0.244,0.155,0.119,0.304,0.173,0.568,0.207,0.136,0.125,0.319,0.187,0.538,0.219,0.164,0.128
Raw Data (Abs Spectrum),680,0.329,0.166,0.585,0.208,0.165,0.119,0.33,0.165,0.599,0.248,0.16,0.121,0.318,0.174,0.605,0.214,0.14,0.127,0.333,0.188,0.573,0.226,0.169,0.13
